Epoch=1, loss_theta=3.838e+09,  energy_data=-6.447e+05,  energy_ebm=-3.838e+09
Epoch=2, loss_theta=4.529e+07,  energy_data=-1.773e+06,  energy_ebm=-4.706e+07
Epoch=3, loss_theta=4.398e+06,  energy_data=-2.705e+06,  energy_ebm=-7.103e+06
Epoch=4, loss_theta=3.805e+06,  energy_data=-4.477e+06,  energy_ebm=-8.283e+06
Epoch=5, loss_theta=-1.135e+07,  energy_data=-1.389e+07,  energy_ebm=-2.543e+06
Epoch=6, loss_theta=9.962e+29,  energy_data=-4.281e+09,  energy_ebm=-9.962e+29
Epoch=7, loss_theta=3.657e+30,  energy_data=-7.696e+09,  energy_ebm=-3.657e+30
Epoch=8, loss_theta=2.257e+30,  energy_data=-7.916e+09,  energy_ebm=-2.257e+30
Epoch=9, loss_theta=2.106e+30,  energy_data=-8.042e+09,  energy_ebm=-2.106e+30
Epoch=10, loss_theta=1.998e+30,  energy_data=-8.169e+09,  energy_ebm=-1.998e+30
Epoch=11, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=12, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=13, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=14, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=15, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=16, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=17, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=18, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=19, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=20, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=21, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=22, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=23, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=24, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=25, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=26, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=27, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=28, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=29, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=30, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=31, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=32, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=33, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=34, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=35, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=36, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=37, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=38, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=39, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=40, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=41, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=42, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=43, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=44, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=45, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=46, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=47, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=48, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=49, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=50, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
