Epoch=1, loss_theta=-6.827e+00,  energy_data=-1.291e+01,  energy_ebm=-6.084e+00,  regularize_term=3.341e+00
Epoch=2, loss_theta=-5.122e+00,  energy_data=-1.262e+01,  energy_ebm=-7.498e+00,  regularize_term=2.565e+00
Epoch=3, loss_theta=-4.516e+00,  energy_data=-1.177e+01,  energy_ebm=-7.253e+00,  regularize_term=2.259e+00
Epoch=4, loss_theta=-4.089e+00,  energy_data=-1.113e+01,  energy_ebm=-7.042e+00,  regularize_term=2.044e+00
Epoch=5, loss_theta=-3.974e+00,  energy_data=-1.097e+01,  energy_ebm=-6.992e+00,  regularize_term=1.990e+00
Epoch=6, loss_theta=-3.864e+00,  energy_data=-1.079e+01,  energy_ebm=-6.924e+00,  regularize_term=1.935e+00
Epoch=7, loss_theta=-3.832e+00,  energy_data=-1.075e+01,  energy_ebm=-6.915e+00,  regularize_term=1.918e+00
Epoch=8, loss_theta=-3.841e+00,  energy_data=-1.076e+01,  energy_ebm=-6.915e+00,  regularize_term=1.923e+00
Epoch=9, loss_theta=-3.821e+00,  energy_data=-1.073e+01,  energy_ebm=-6.908e+00,  regularize_term=1.910e+00
Epoch=10, loss_theta=-3.702e+00,  energy_data=-1.053e+01,  energy_ebm=-6.830e+00,  regularize_term=1.852e+00
Epoch=11, loss_theta=-3.606e+00,  energy_data=-1.039e+01,  energy_ebm=-6.781e+00,  regularize_term=1.805e+00
Epoch=12, loss_theta=-3.675e+00,  energy_data=-1.049e+01,  energy_ebm=-6.820e+00,  regularize_term=1.838e+00
Epoch=13, loss_theta=-3.653e+00,  energy_data=-1.046e+01,  energy_ebm=-6.803e+00,  regularize_term=1.826e+00
Epoch=14, loss_theta=-3.693e+00,  energy_data=-1.053e+01,  energy_ebm=-6.836e+00,  regularize_term=1.848e+00
Epoch=15, loss_theta=-3.609e+00,  energy_data=-1.040e+01,  energy_ebm=-6.791e+00,  regularize_term=1.803e+00
Epoch=16, loss_theta=-3.543e+00,  energy_data=-1.030e+01,  energy_ebm=-6.752e+00,  regularize_term=1.772e+00
Epoch=17, loss_theta=-3.575e+00,  energy_data=-1.035e+01,  energy_ebm=-6.770e+00,  regularize_term=1.786e+00
Epoch=18, loss_theta=-3.595e+00,  energy_data=-1.040e+01,  energy_ebm=-6.805e+00,  regularize_term=1.802e+00
Epoch=19, loss_theta=-3.557e+00,  energy_data=-1.031e+01,  energy_ebm=-6.755e+00,  regularize_term=1.775e+00
Epoch=20, loss_theta=-3.582e+00,  energy_data=-1.035e+01,  energy_ebm=-6.764e+00,  regularize_term=1.791e+00
Epoch=21, loss_theta=-3.601e+00,  energy_data=-1.040e+01,  energy_ebm=-6.800e+00,  regularize_term=1.802e+00
Epoch=22, loss_theta=-3.576e+00,  energy_data=-1.035e+01,  energy_ebm=-6.779e+00,  regularize_term=1.788e+00
Epoch=23, loss_theta=-3.600e+00,  energy_data=-1.038e+01,  energy_ebm=-6.779e+00,  regularize_term=1.800e+00
Epoch=24, loss_theta=-3.551e+00,  energy_data=-1.031e+01,  energy_ebm=-6.763e+00,  regularize_term=1.775e+00
Epoch=25, loss_theta=-3.606e+00,  energy_data=-1.040e+01,  energy_ebm=-6.796e+00,  regularize_term=1.804e+00
Epoch=26, loss_theta=-3.516e+00,  energy_data=-1.027e+01,  energy_ebm=-6.752e+00,  regularize_term=1.759e+00
Epoch=27, loss_theta=-3.478e+00,  energy_data=-1.020e+01,  energy_ebm=-6.726e+00,  regularize_term=1.739e+00
Epoch=28, loss_theta=-3.516e+00,  energy_data=-1.026e+01,  energy_ebm=-6.743e+00,  regularize_term=1.757e+00
Epoch=29, loss_theta=-3.543e+00,  energy_data=-1.031e+01,  energy_ebm=-6.770e+00,  regularize_term=1.772e+00
Epoch=30, loss_theta=-3.523e+00,  energy_data=-1.028e+01,  energy_ebm=-6.752e+00,  regularize_term=1.761e+00
Epoch=31, loss_theta=-3.496e+00,  energy_data=-1.024e+01,  energy_ebm=-6.740e+00,  regularize_term=1.747e+00
