Epoch=1, loss_theta=-7.712e-01,  energy_data=-4.029e+00,  energy_ebm=-3.258e+00,  regularize_term=8.080e-01
Epoch=2, loss_theta=-3.070e-01,  energy_data=-2.756e+00,  energy_ebm=-2.449e+00,  regularize_term=1.463e-01
Epoch=3, loss_theta=-2.567e-01,  energy_data=-2.506e+00,  energy_ebm=-2.249e+00,  regularize_term=1.202e-01
Epoch=4, loss_theta=-2.125e-01,  energy_data=-2.304e+00,  energy_ebm=-2.091e+00,  regularize_term=1.027e-01
Epoch=5, loss_theta=-2.147e-01,  energy_data=-2.316e+00,  energy_ebm=-2.101e+00,  regularize_term=1.039e-01
Epoch=6, loss_theta=-2.113e-01,  energy_data=-2.296e+00,  energy_ebm=-2.084e+00,  regularize_term=1.021e-01
Epoch=7, loss_theta=-2.143e-01,  energy_data=-2.318e+00,  energy_ebm=-2.103e+00,  regularize_term=1.041e-01
Epoch=8, loss_theta=-2.127e-01,  energy_data=-2.307e+00,  energy_ebm=-2.094e+00,  regularize_term=1.028e-01
Epoch=9, loss_theta=-2.075e-01,  energy_data=-2.288e+00,  energy_ebm=-2.080e+00,  regularize_term=1.018e-01
Epoch=10, loss_theta=-2.067e-01,  energy_data=-2.291e+00,  energy_ebm=-2.084e+00,  regularize_term=1.026e-01
Epoch=11, loss_theta=-1.999e-01,  energy_data=-2.253e+00,  energy_ebm=-2.053e+00,  regularize_term=9.921e-02
Epoch=12, loss_theta=-2.020e-01,  energy_data=-2.264e+00,  energy_ebm=-2.062e+00,  regularize_term=1.010e-01
Epoch=13, loss_theta=-2.039e-01,  energy_data=-2.277e+00,  energy_ebm=-2.073e+00,  regularize_term=1.012e-01
Epoch=14, loss_theta=-1.975e-01,  energy_data=-2.240e+00,  energy_ebm=-2.042e+00,  regularize_term=9.783e-02
Epoch=15, loss_theta=-1.976e-01,  energy_data=-2.244e+00,  energy_ebm=-2.046e+00,  regularize_term=9.882e-02
Epoch=16, loss_theta=-2.005e-01,  energy_data=-2.259e+00,  energy_ebm=-2.059e+00,  regularize_term=9.976e-02
Epoch=17, loss_theta=-1.931e-01,  energy_data=-2.210e+00,  energy_ebm=-2.017e+00,  regularize_term=9.607e-02
Epoch=18, loss_theta=-1.902e-01,  energy_data=-2.192e+00,  energy_ebm=-2.002e+00,  regularize_term=9.447e-02
Epoch=19, loss_theta=-2.020e-01,  energy_data=-2.256e+00,  energy_ebm=-2.054e+00,  regularize_term=1.006e-01
Epoch=20, loss_theta=-1.943e-01,  energy_data=-2.216e+00,  energy_ebm=-2.021e+00,  regularize_term=9.671e-02
Epoch=21, loss_theta=-1.941e-01,  energy_data=-2.215e+00,  energy_ebm=-2.021e+00,  regularize_term=9.714e-02
Epoch=22, loss_theta=-1.930e-01,  energy_data=-2.203e+00,  energy_ebm=-2.010e+00,  regularize_term=9.593e-02
Epoch=23, loss_theta=-1.958e-01,  energy_data=-2.228e+00,  energy_ebm=-2.033e+00,  regularize_term=9.756e-02
Epoch=24, loss_theta=-1.954e-01,  energy_data=-2.220e+00,  energy_ebm=-2.025e+00,  regularize_term=9.730e-02
Epoch=25, loss_theta=-1.963e-01,  energy_data=-2.228e+00,  energy_ebm=-2.032e+00,  regularize_term=9.804e-02
Epoch=26, loss_theta=-1.951e-01,  energy_data=-2.213e+00,  energy_ebm=-2.018e+00,  regularize_term=9.738e-02
Epoch=27, loss_theta=-1.922e-01,  energy_data=-2.204e+00,  energy_ebm=-2.012e+00,  regularize_term=9.565e-02
Epoch=28, loss_theta=-2.008e-01,  energy_data=-2.262e+00,  energy_ebm=-2.062e+00,  regularize_term=1.000e-01
Epoch=29, loss_theta=-1.930e-01,  energy_data=-2.212e+00,  energy_ebm=-2.019e+00,  regularize_term=9.618e-02
Epoch=30, loss_theta=-1.963e-01,  energy_data=-2.228e+00,  energy_ebm=-2.032e+00,  regularize_term=9.790e-02
Epoch=31, loss_theta=-1.911e-01,  energy_data=-2.197e+00,  energy_ebm=-2.006e+00,  regularize_term=9.562e-02
Epoch=32, loss_theta=-1.925e-01,  energy_data=-2.205e+00,  energy_ebm=-2.013e+00,  regularize_term=9.590e-02
Epoch=33, loss_theta=-1.865e-01,  energy_data=-2.174e+00,  energy_ebm=-1.988e+00,  regularize_term=9.324e-02
Epoch=34, loss_theta=-1.920e-01,  energy_data=-2.213e+00,  energy_ebm=-2.021e+00,  regularize_term=9.549e-02
Epoch=35, loss_theta=-1.938e-01,  energy_data=-2.214e+00,  energy_ebm=-2.021e+00,  regularize_term=9.701e-02
Epoch=36, loss_theta=-1.966e-01,  energy_data=-2.232e+00,  energy_ebm=-2.035e+00,  regularize_term=9.837e-02
Epoch=37, loss_theta=-1.955e-01,  energy_data=-2.230e+00,  energy_ebm=-2.034e+00,  regularize_term=9.759e-02
Epoch=38, loss_theta=-1.929e-01,  energy_data=-2.212e+00,  energy_ebm=-2.019e+00,  regularize_term=9.664e-02
Epoch=39, loss_theta=-1.964e-01,  energy_data=-2.227e+00,  energy_ebm=-2.031e+00,  regularize_term=9.806e-02
Epoch=40, loss_theta=-1.882e-01,  energy_data=-2.181e+00,  energy_ebm=-1.993e+00,  regularize_term=9.391e-02
Epoch=41, loss_theta=-1.924e-01,  energy_data=-2.204e+00,  energy_ebm=-2.012e+00,  regularize_term=9.623e-02
