Epoch=1, loss_theta=9.461e+02,  loss_phi=3.736e+03,  ess=3.669e+00,  energy_data=-7.190e+02,  energy_ebm=-1.665e+03
Epoch=2, loss_theta=1.586e+02,  loss_phi=3.684e+03,  ess=5.837e+00,  energy_data=-7.042e+02,  energy_ebm=-8.627e+02
Epoch=3, loss_theta=-3.321e+02,  loss_phi=3.773e+03,  ess=7.314e+00,  energy_data=-9.275e+02,  energy_ebm=-5.954e+02
Epoch=4, loss_theta=-7.560e+02,  loss_phi=3.808e+03,  ess=7.750e+00,  energy_data=-1.280e+03,  energy_ebm=-5.238e+02
Epoch=5, loss_theta=-1.160e+03,  loss_phi=3.787e+03,  ess=7.459e+00,  energy_data=-1.733e+03,  energy_ebm=-5.732e+02
Epoch=6, loss_theta=-1.539e+03,  loss_phi=3.714e+03,  ess=6.830e+00,  energy_data=-2.270e+03,  energy_ebm=-7.306e+02
Epoch=7, loss_theta=-1.876e+03,  loss_phi=3.604e+03,  ess=6.097e+00,  energy_data=-2.872e+03,  energy_ebm=-9.955e+02
Epoch=8, loss_theta=-2.166e+03,  loss_phi=3.472e+03,  ess=5.394e+00,  energy_data=-3.530e+03,  energy_ebm=-1.364e+03
Epoch=9, loss_theta=-2.409e+03,  loss_phi=3.330e+03,  ess=4.775e+00,  energy_data=-4.237e+03,  energy_ebm=-1.828e+03
Epoch=10, loss_theta=-2.607e+03,  loss_phi=3.187e+03,  ess=4.251e+00,  energy_data=-4.991e+03,  energy_ebm=-2.384e+03
Epoch=11, loss_theta=-2.764e+03,  loss_phi=3.046e+03,  ess=3.815e+00,  energy_data=-5.788e+03,  energy_ebm=-3.024e+03
Epoch=12, loss_theta=-2.882e+03,  loss_phi=2.911e+03,  ess=3.453e+00,  energy_data=-6.627e+03,  energy_ebm=-3.744e+03
Epoch=13, loss_theta=-2.969e+03,  loss_phi=2.784e+03,  ess=3.152e+00,  energy_data=-7.507e+03,  energy_ebm=-4.538e+03
Epoch=14, loss_theta=-3.025e+03,  loss_phi=2.664e+03,  ess=2.901e+00,  energy_data=-8.429e+03,  energy_ebm=-5.404e+03
Epoch=15, loss_theta=-3.048e+03,  loss_phi=2.551e+03,  ess=2.691e+00,  energy_data=-9.390e+03,  energy_ebm=-6.343e+03
Epoch=16, loss_theta=-3.046e+03,  loss_phi=2.446e+03,  ess=2.514e+00,  energy_data=-1.039e+04,  energy_ebm=-7.345e+03
Epoch=17, loss_theta=-3.022e+03,  loss_phi=2.347e+03,  ess=2.365e+00,  energy_data=-1.143e+04,  energy_ebm=-8.411e+03
Epoch=18, loss_theta=-2.975e+03,  loss_phi=2.255e+03,  ess=2.238e+00,  energy_data=-1.251e+04,  energy_ebm=-9.538e+03
Epoch=19, loss_theta=-2.923e+03,  loss_phi=2.169e+03,  ess=2.130e+00,  energy_data=-1.364e+04,  energy_ebm=-1.071e+04
Epoch=20, loss_theta=-2.867e+03,  loss_phi=2.086e+03,  ess=2.039e+00,  energy_data=-1.481e+04,  energy_ebm=-1.194e+04
Epoch=21, loss_theta=-2.839e+03,  loss_phi=2.009e+03,  ess=1.961e+00,  energy_data=-1.604e+04,  energy_ebm=-1.320e+04
Epoch=22, loss_theta=-2.824e+03,  loss_phi=1.934e+03,  ess=1.894e+00,  energy_data=-1.733e+04,  energy_ebm=-1.451e+04
Epoch=23, loss_theta=-2.785e+03,  loss_phi=1.861e+03,  ess=1.832e+00,  energy_data=-1.868e+04,  energy_ebm=-1.589e+04
Epoch=24, loss_theta=-2.738e+03,  loss_phi=1.797e+03,  ess=1.777e+00,  energy_data=-2.007e+04,  energy_ebm=-1.733e+04
Epoch=25, loss_theta=-2.638e+03,  loss_phi=1.732e+03,  ess=1.727e+00,  energy_data=-2.149e+04,  energy_ebm=-1.885e+04
Epoch=26, loss_theta=-2.547e+03,  loss_phi=1.676e+03,  ess=1.682e+00,  energy_data=-2.295e+04,  energy_ebm=-2.040e+04
Epoch=27, loss_theta=-2.417e+03,  loss_phi=1.621e+03,  ess=1.642e+00,  energy_data=-2.443e+04,  energy_ebm=-2.201e+04
Epoch=28, loss_theta=-2.292e+03,  loss_phi=1.572e+03,  ess=1.608e+00,  energy_data=-2.593e+04,  energy_ebm=-2.364e+04
Epoch=29, loss_theta=-2.157e+03,  loss_phi=1.526e+03,  ess=1.576e+00,  energy_data=-2.746e+04,  energy_ebm=-2.530e+04
Epoch=30, loss_theta=-2.010e+03,  loss_phi=1.483e+03,  ess=1.547e+00,  energy_data=-2.901e+04,  energy_ebm=-2.700e+04
Epoch=31, loss_theta=-1.845e+03,  loss_phi=1.440e+03,  ess=1.522e+00,  energy_data=-3.057e+04,  energy_ebm=-2.873e+04
Epoch=32, loss_theta=-1.686e+03,  loss_phi=1.403e+03,  ess=1.499e+00,  energy_data=-3.214e+04,  energy_ebm=-3.046e+04
Epoch=33, loss_theta=-1.527e+03,  loss_phi=1.369e+03,  ess=1.478e+00,  energy_data=-3.372e+04,  energy_ebm=-3.219e+04
Epoch=34, loss_theta=-1.360e+03,  loss_phi=1.335e+03,  ess=1.460e+00,  energy_data=-3.529e+04,  energy_ebm=-3.393e+04
Epoch=35, loss_theta=-1.225e+03,  loss_phi=1.307e+03,  ess=1.443e+00,  energy_data=-3.687e+04,  energy_ebm=-3.564e+04
Epoch=36, loss_theta=-1.080e+03,  loss_phi=1.276e+03,  ess=1.428e+00,  energy_data=-3.843e+04,  energy_ebm=-3.735e+04
Epoch=37, loss_theta=-9.735e+02,  loss_phi=1.249e+03,  ess=1.415e+00,  energy_data=-4.001e+04,  energy_ebm=-3.903e+04
Epoch=38, loss_theta=-9.075e+02,  loss_phi=1.223e+03,  ess=1.403e+00,  energy_data=-4.162e+04,  energy_ebm=-4.071e+04
Epoch=39, loss_theta=-9.067e+02,  loss_phi=1.197e+03,  ess=1.392e+00,  energy_data=-4.330e+04,  energy_ebm=-4.240e+04
Epoch=40, loss_theta=-8.921e+02,  loss_phi=1.170e+03,  ess=1.382e+00,  energy_data=-4.513e+04,  energy_ebm=-4.423e+04
Epoch=41, loss_theta=-8.962e+02,  loss_phi=1.143e+03,  ess=1.372e+00,  energy_data=-4.703e+04,  energy_ebm=-4.613e+04
Epoch=42, loss_theta=-9.209e+02,  loss_phi=1.118e+03,  ess=1.361e+00,  energy_data=-4.903e+04,  energy_ebm=-4.811e+04
Epoch=43, loss_theta=-9.023e+02,  loss_phi=1.093e+03,  ess=1.352e+00,  energy_data=-5.110e+04,  energy_ebm=-5.020e+04
Epoch=44, loss_theta=-9.052e+02,  loss_phi=1.074e+03,  ess=1.342e+00,  energy_data=-5.322e+04,  energy_ebm=-5.232e+04
Epoch=45, loss_theta=-9.188e+02,  loss_phi=1.056e+03,  ess=1.333e+00,  energy_data=-5.540e+04,  energy_ebm=-5.448e+04
Epoch=46, loss_theta=-9.385e+02,  loss_phi=1.040e+03,  ess=1.324e+00,  energy_data=-5.765e+04,  energy_ebm=-5.671e+04
Epoch=47, loss_theta=-9.714e+02,  loss_phi=1.027e+03,  ess=1.315e+00,  energy_data=-5.997e+04,  energy_ebm=-5.899e+04
Epoch=48, loss_theta=-9.588e+02,  loss_phi=1.012e+03,  ess=1.306e+00,  energy_data=-6.231e+04,  energy_ebm=-6.135e+04
Epoch=49, loss_theta=-9.401e+02,  loss_phi=9.980e+02,  ess=1.298e+00,  energy_data=-6.461e+04,  energy_ebm=-6.367e+04
