Epoch=1, ess1=2.372e+00,  loss_theta1=4.641e+02,  loss_phi1=4.969e+02,  energy_data1=-1.257e+02,  energy_ebm1=-5.898e+02,  ess2=3.118e+00,  loss_theta2=-6.242e+03,  loss_phi2=1.756e+03,  energy_data2=-6.765e+03,  energy_ebm2=-5.232e+02,  ess3=1.996e+00,  loss_theta3=-5.130e+05,  loss_phi3=1.974e+02,  energy_data3=-5.131e+05,  energy_ebm3=-1.633e+02
Epoch=2, ess1=1.179e+00,  loss_theta1=6.802e+03,  loss_phi1=3.666e+02,  energy_data1=-9.895e+02,  energy_ebm1=-7.791e+03,  ess2=1.069e+00,  loss_theta2=-3.051e+05,  loss_phi2=1.467e+03,  energy_data2=-3.219e+05,  energy_ebm2=-1.677e+04,  ess3=1.029e+00,  loss_theta3=-1.015e+08,  loss_phi3=1.725e+02,  energy_data3=-1.015e+08,  energy_ebm3=-5.501e+03
Epoch=3, ess1=1.083e+00,  loss_theta1=2.399e+04,  loss_phi1=2.236e+02,  energy_data1=-2.676e+03,  energy_ebm1=-2.667e+04,  ess2=1.026e+00,  loss_theta2=-2.112e+06,  loss_phi2=1.238e+03,  energy_data2=-2.179e+06,  energy_ebm2=-6.753e+04,  ess3=1.011e+00,  loss_theta3=-1.536e+09,  loss_phi3=1.343e+02,  energy_data3=-1.536e+09,  energy_ebm3=-2.793e+04
Epoch=4, ess1=1.056e+00,  loss_theta1=4.928e+04,  loss_phi1=1.323e+02,  energy_data1=-4.917e+03,  energy_ebm1=-5.419e+04,  ess2=1.017e+00,  loss_theta2=-7.079e+06,  loss_phi2=1.116e+03,  energy_data2=-7.223e+06,  energy_ebm2=-1.435e+05,  ess3=1.007e+00,  loss_theta3=-8.790e+09,  loss_phi3=9.969e+01,  energy_data3=-8.790e+09,  energy_ebm3=-6.992e+04
Epoch=5, ess1=1.043e+00,  loss_theta1=7.957e+04,  loss_phi1=8.273e+01,  energy_data1=-7.557e+03,  energy_ebm1=-8.713e+04,  ess2=1.013e+00,  loss_theta2=-1.673e+07,  loss_phi2=1.054e+03,  energy_data2=-1.696e+07,  energy_ebm2=-2.354e+05,  ess3=1.005e+00,  loss_theta3=-3.089e+10,  loss_phi3=7.465e+01,  energy_data3=-3.089e+10,  energy_ebm3=-1.269e+05
Epoch=6, ess1=1.036e+00,  loss_theta1=1.134e+05,  loss_phi1=5.652e+01,  energy_data1=-1.051e+04,  energy_ebm1=-1.239e+05,  ess2=1.011e+00,  loss_theta2=-3.239e+07,  loss_phi2=1.019e+03,  energy_data2=-3.273e+07,  energy_ebm2=-3.378e+05,  ess3=1.004e+00,  loss_theta3=-8.166e+10,  loss_phi3=5.894e+01,  energy_data3=-8.166e+10,  energy_ebm3=-1.923e+05
Epoch=7, ess1=1.031e+00,  loss_theta1=1.500e+05,  loss_phi1=4.092e+01,  energy_data1=-1.372e+04,  energy_ebm1=-1.637e+05,  ess2=1.009e+00,  loss_theta2=-5.528e+07,  loss_phi2=9.999e+02,  energy_data2=-5.572e+07,  energy_ebm2=-4.475e+05,  ess3=1.003e+00,  loss_theta3=-1.800e+11,  loss_phi3=4.385e+01,  energy_data3=-1.800e+11,  energy_ebm3=-2.691e+05
Epoch=8, ess1=1.027e+00,  loss_theta1=1.893e+05,  loss_phi1=3.049e+01,  energy_data1=-1.716e+04,  energy_ebm1=-2.065e+05,  ess2=1.009e+00,  loss_theta2=-8.657e+07,  loss_phi2=9.885e+02,  energy_data2=-8.713e+07,  energy_ebm2=-5.665e+05,  ess3=1.003e+00,  loss_theta3=-3.499e+11,  loss_phi3=3.511e+01,  energy_data3=-3.499e+11,  energy_ebm3=-3.504e+05
Epoch=9, ess1=1.025e+00,  loss_theta1=2.307e+05,  loss_phi1=2.418e+01,  energy_data1=-2.080e+04,  energy_ebm1=-2.515e+05,  ess2=1.008e+00,  loss_theta2=-1.274e+08,  loss_phi2=9.777e+02,  energy_data2=-1.281e+08,  energy_ebm2=-6.920e+05,  ess3=1.003e+00,  loss_theta3=-6.207e+11,  loss_phi3=2.617e+01,  energy_data3=-6.207e+11,  energy_ebm3=-4.408e+05
Epoch=10, ess1=1.023e+00,  loss_theta1=2.747e+05,  loss_phi1=1.846e+01,  energy_data1=-2.464e+04,  energy_ebm1=-2.993e+05,  ess2=1.007e+00,  loss_theta2=-1.788e+08,  loss_phi2=9.621e+02,  energy_data2=-1.796e+08,  energy_ebm2=-8.251e+05,  ess3=1.002e+00,  loss_theta3=-1.028e+12,  loss_phi3=2.115e+01,  energy_data3=-1.028e+12,  energy_ebm3=-5.313e+05
Epoch=11, ess1=1.021e+00,  loss_theta1=3.206e+05,  loss_phi1=1.453e+01,  energy_data1=-2.866e+04,  energy_ebm1=-3.493e+05,  ess2=1.007e+00,  loss_theta2=-2.422e+08,  loss_phi2=9.622e+02,  energy_data2=-2.431e+08,  energy_ebm2=-9.625e+05,  ess3=1.002e+00,  loss_theta3=-1.615e+12,  loss_phi3=1.851e+01,  energy_data3=-1.615e+12,  energy_ebm3=-6.222e+05
Epoch=12, ess1=1.020e+00,  loss_theta1=3.684e+05,  loss_phi1=1.241e+01,  energy_data1=-3.286e+04,  energy_ebm1=-4.013e+05,  ess2=1.006e+00,  loss_theta2=-3.185e+08,  loss_phi2=9.538e+02,  energy_data2=-3.196e+08,  energy_ebm2=-1.108e+06,  ess3=1.002e+00,  loss_theta3=-2.429e+12,  loss_phi3=1.535e+01,  energy_data3=-2.429e+12,  energy_ebm3=-7.198e+05
Epoch=13, ess1=1.018e+00,  loss_theta1=4.183e+05,  loss_phi1=1.045e+01,  energy_data1=-3.723e+04,  energy_ebm1=-4.555e+05,  ess2=1.006e+00,  loss_theta2=-4.092e+08,  loss_phi2=9.482e+02,  energy_data2=-4.104e+08,  energy_ebm2=-1.259e+06,  ess3=1.002e+00,  loss_theta3=-3.528e+12,  loss_phi3=1.295e+01,  energy_data3=-3.528e+12,  energy_ebm3=-8.257e+05
