Epoch=1, loss_theta=4.913e+00,  energy_data=-5.639e+00,  energy_ebm=-1.055e+01,  regularize_term=7.819e+01
Epoch=2, loss_theta=-3.085e-01,  energy_data=-1.112e+01,  energy_ebm=-1.081e+01,  regularize_term=3.406e-01
Epoch=3, loss_theta=-5.659e-01,  energy_data=-1.252e+01,  energy_ebm=-1.196e+01,  regularize_term=3.124e-01
Epoch=4, loss_theta=-6.595e-01,  energy_data=-1.312e+01,  energy_ebm=-1.246e+01,  regularize_term=3.361e-01
Epoch=5, loss_theta=-7.082e-01,  energy_data=-1.352e+01,  energy_ebm=-1.281e+01,  regularize_term=3.566e-01
Epoch=6, loss_theta=-7.502e-01,  energy_data=-1.391e+01,  energy_ebm=-1.316e+01,  regularize_term=3.767e-01
Epoch=7, loss_theta=-7.910e-01,  energy_data=-1.426e+01,  energy_ebm=-1.347e+01,  regularize_term=3.957e-01
Epoch=8, loss_theta=-8.108e-01,  energy_data=-1.444e+01,  energy_ebm=-1.363e+01,  regularize_term=4.054e-01
Epoch=9, loss_theta=-8.025e-01,  energy_data=-1.435e+01,  energy_ebm=-1.355e+01,  regularize_term=4.008e-01
Epoch=10, loss_theta=-8.077e-01,  energy_data=-1.441e+01,  energy_ebm=-1.360e+01,  regularize_term=4.036e-01
Epoch=11, loss_theta=-8.146e-01,  energy_data=-1.448e+01,  energy_ebm=-1.367e+01,  regularize_term=4.079e-01
Epoch=12, loss_theta=-8.126e-01,  energy_data=-1.445e+01,  energy_ebm=-1.363e+01,  regularize_term=4.060e-01
Epoch=13, loss_theta=-8.102e-01,  energy_data=-1.443e+01,  energy_ebm=-1.362e+01,  regularize_term=4.051e-01
Epoch=14, loss_theta=-8.111e-01,  energy_data=-1.445e+01,  energy_ebm=-1.364e+01,  regularize_term=4.062e-01
Epoch=15, loss_theta=-8.178e-01,  energy_data=-1.450e+01,  energy_ebm=-1.368e+01,  regularize_term=4.089e-01
Epoch=16, loss_theta=-8.259e-01,  energy_data=-1.456e+01,  energy_ebm=-1.374e+01,  regularize_term=4.124e-01
Epoch=17, loss_theta=-8.006e-01,  energy_data=-1.436e+01,  energy_ebm=-1.356e+01,  regularize_term=4.011e-01
Epoch=18, loss_theta=-8.136e-01,  energy_data=-1.446e+01,  energy_ebm=-1.365e+01,  regularize_term=4.069e-01
Epoch=19, loss_theta=-8.039e-01,  energy_data=-1.437e+01,  energy_ebm=-1.356e+01,  regularize_term=4.017e-01
Epoch=20, loss_theta=-8.066e-01,  energy_data=-1.439e+01,  energy_ebm=-1.359e+01,  regularize_term=4.030e-01
Epoch=21, loss_theta=-8.124e-01,  energy_data=-1.446e+01,  energy_ebm=-1.365e+01,  regularize_term=4.067e-01
Epoch=22, loss_theta=-8.110e-01,  energy_data=-1.443e+01,  energy_ebm=-1.362e+01,  regularize_term=4.052e-01
Epoch=23, loss_theta=-8.093e-01,  energy_data=-1.443e+01,  energy_ebm=-1.363e+01,  regularize_term=4.054e-01
Epoch=24, loss_theta=-8.104e-01,  energy_data=-1.443e+01,  energy_ebm=-1.362e+01,  regularize_term=4.052e-01
Epoch=25, loss_theta=-8.011e-01,  energy_data=-1.435e+01,  energy_ebm=-1.355e+01,  regularize_term=4.008e-01
Epoch=26, loss_theta=-7.950e-01,  energy_data=-1.430e+01,  energy_ebm=-1.350e+01,  regularize_term=3.976e-01
Epoch=27, loss_theta=-8.243e-01,  energy_data=-1.457e+01,  energy_ebm=-1.374e+01,  regularize_term=4.126e-01
