Epoch=1, loss_theta=1.820e+05,  energy_data=-3.619e+03,  energy_ebm=-1.856e+05
Epoch=2, loss_theta=8.423e+15,  energy_data=-6.034e+06,  energy_ebm=-8.423e+15
Epoch=3, loss_theta=8.408e+14,  energy_data=-2.567e+07,  energy_ebm=-8.408e+14
Epoch=4, loss_theta=5.937e+13,  energy_data=-3.438e+07,  energy_ebm=-5.937e+13
Epoch=5, loss_theta=1.893e+14,  energy_data=-4.347e+07,  energy_ebm=-1.893e+14
Epoch=6, loss_theta=2.215e+13,  energy_data=-5.266e+07,  energy_ebm=-2.215e+13
Epoch=7, loss_theta=1.197e+14,  energy_data=-6.205e+07,  energy_ebm=-1.197e+14
Epoch=8, loss_theta=3.150e+13,  energy_data=-7.122e+07,  energy_ebm=-3.150e+13
Epoch=9, loss_theta=3.106e+13,  energy_data=-8.123e+07,  energy_ebm=-3.106e+13
Epoch=10, loss_theta=3.773e+13,  energy_data=-9.083e+07,  energy_ebm=-3.773e+13
Epoch=11, loss_theta=3.836e+13,  energy_data=-1.021e+08,  energy_ebm=-3.836e+13
Epoch=12, loss_theta=2.061e+13,  energy_data=-1.078e+08,  energy_ebm=-2.061e+13
Epoch=13, loss_theta=2.799e+13,  energy_data=-1.135e+08,  energy_ebm=-2.799e+13
Epoch=14, loss_theta=2.249e+12,  energy_data=-1.237e+08,  energy_ebm=-2.249e+12
Epoch=15, loss_theta=1.745e+13,  energy_data=-1.320e+08,  energy_ebm=-1.745e+13
Epoch=16, loss_theta=8.006e+11,  energy_data=-1.410e+08,  energy_ebm=-8.007e+11
Epoch=17, loss_theta=2.319e+12,  energy_data=-1.539e+08,  energy_ebm=-2.319e+12
Epoch=18, loss_theta=6.848e+13,  energy_data=-1.831e+08,  energy_ebm=-6.848e+13
Epoch=19, loss_theta=1.791e+13,  energy_data=-2.451e+08,  energy_ebm=-1.791e+13
Epoch=20, loss_theta=3.858e+12,  energy_data=-2.632e+08,  energy_ebm=-3.859e+12
Epoch=21, loss_theta=1.886e+12,  energy_data=-2.841e+08,  energy_ebm=-1.887e+12
Epoch=22, loss_theta=4.711e+12,  energy_data=-2.966e+08,  energy_ebm=-4.711e+12
Epoch=23, loss_theta=7.550e+11,  energy_data=-3.145e+08,  energy_ebm=-7.553e+11
Epoch=24, loss_theta=2.872e+11,  energy_data=-3.355e+08,  energy_ebm=-2.875e+11
Epoch=25, loss_theta=7.618e+12,  energy_data=-3.287e+08,  energy_ebm=-7.618e+12
Epoch=26, loss_theta=5.082e+11,  energy_data=-3.314e+08,  energy_ebm=-5.085e+11
Epoch=27, loss_theta=7.842e+11,  energy_data=-3.515e+08,  energy_ebm=-7.846e+11
Epoch=28, loss_theta=2.328e+11,  energy_data=-3.640e+08,  energy_ebm=-2.332e+11
Epoch=29, loss_theta=3.084e+11,  energy_data=-3.826e+08,  energy_ebm=-3.088e+11
Epoch=30, loss_theta=1.600e+12,  energy_data=-3.777e+08,  energy_ebm=-1.600e+12
Epoch=31, loss_theta=9.351e+10,  energy_data=-3.814e+08,  energy_ebm=-9.389e+10
Epoch=32, loss_theta=1.087e+11,  energy_data=-3.975e+08,  energy_ebm=-1.091e+11
Epoch=33, loss_theta=2.580e+10,  energy_data=-4.165e+08,  energy_ebm=-2.622e+10
Epoch=34, loss_theta=4.623e+11,  energy_data=-4.025e+08,  energy_ebm=-4.627e+11
Epoch=35, loss_theta=7.214e+09,  energy_data=-4.205e+08,  energy_ebm=-7.635e+09
Epoch=36, loss_theta=6.186e+09,  energy_data=-4.450e+08,  energy_ebm=-6.631e+09
Epoch=37, loss_theta=1.345e+10,  energy_data=-4.719e+08,  energy_ebm=-1.392e+10
Epoch=38, loss_theta=1.060e+14,  energy_data=-4.254e+08,  energy_ebm=-1.060e+14
Epoch=39, loss_theta=5.353e+11,  energy_data=-1.094e+08,  energy_ebm=-5.354e+11
Epoch=40, loss_theta=1.428e+11,  energy_data=-1.126e+08,  energy_ebm=-1.429e+11
Epoch=41, loss_theta=3.087e+11,  energy_data=-1.166e+08,  energy_ebm=-3.088e+11
Epoch=42, loss_theta=1.503e+11,  energy_data=-1.213e+08,  energy_ebm=-1.504e+11
Epoch=43, loss_theta=1.184e+11,  energy_data=-1.268e+08,  energy_ebm=-1.185e+11
Epoch=44, loss_theta=3.371e+11,  energy_data=-1.330e+08,  energy_ebm=-3.372e+11
Epoch=45, loss_theta=8.772e+10,  energy_data=-1.394e+08,  energy_ebm=-8.786e+10
Epoch=46, loss_theta=7.369e+11,  energy_data=-1.457e+08,  energy_ebm=-7.371e+11
Epoch=47, loss_theta=7.133e+10,  energy_data=-1.509e+08,  energy_ebm=-7.148e+10
Epoch=48, loss_theta=1.326e+11,  energy_data=-1.588e+08,  energy_ebm=-1.328e+11
Epoch=49, loss_theta=2.732e+11,  energy_data=-1.666e+08,  energy_ebm=-2.734e+11
Epoch=50, loss_theta=7.437e+10,  energy_data=-1.721e+08,  energy_ebm=-7.454e+10
