Epoch=1, loss_theta=-4.856e+00,  energy_data=-8.353e+00,  energy_ebm=-3.497e+00,  regularize_term=4.192e+00
Epoch=2, loss_theta=-3.731e+00,  energy_data=-1.058e+01,  energy_ebm=-6.848e+00,  regularize_term=1.894e+00
Epoch=3, loss_theta=-2.255e+00,  energy_data=-8.080e+00,  energy_ebm=-5.825e+00,  regularize_term=1.136e+00
Epoch=4, loss_theta=-1.843e+00,  energy_data=-7.249e+00,  energy_ebm=-5.406e+00,  regularize_term=9.246e-01
Epoch=5, loss_theta=-1.748e+00,  energy_data=-7.058e+00,  energy_ebm=-5.309e+00,  regularize_term=8.800e-01
Epoch=6, loss_theta=-1.599e+00,  energy_data=-6.729e+00,  energy_ebm=-5.130e+00,  regularize_term=8.051e-01
Epoch=7, loss_theta=-1.508e+00,  energy_data=-6.518e+00,  energy_ebm=-5.010e+00,  regularize_term=7.596e-01
Epoch=8, loss_theta=-1.458e+00,  energy_data=-6.394e+00,  energy_ebm=-4.936e+00,  regularize_term=7.319e-01
Epoch=9, loss_theta=-1.462e+00,  energy_data=-6.406e+00,  energy_ebm=-4.944e+00,  regularize_term=7.338e-01
Epoch=10, loss_theta=-1.398e+00,  energy_data=-6.256e+00,  energy_ebm=-4.858e+00,  regularize_term=7.012e-01
Epoch=11, loss_theta=-1.396e+00,  energy_data=-6.244e+00,  energy_ebm=-4.847e+00,  regularize_term=6.998e-01
Epoch=12, loss_theta=-1.372e+00,  energy_data=-6.177e+00,  energy_ebm=-4.805e+00,  regularize_term=6.867e-01
Epoch=13, loss_theta=-1.374e+00,  energy_data=-6.195e+00,  energy_ebm=-4.821e+00,  regularize_term=6.880e-01
Epoch=14, loss_theta=-1.330e+00,  energy_data=-6.087e+00,  energy_ebm=-4.757e+00,  regularize_term=6.658e-01
Epoch=15, loss_theta=-1.308e+00,  energy_data=-6.021e+00,  energy_ebm=-4.714e+00,  regularize_term=6.547e-01
Epoch=16, loss_theta=-1.308e+00,  energy_data=-6.024e+00,  energy_ebm=-4.716e+00,  regularize_term=6.545e-01
Epoch=17, loss_theta=-1.296e+00,  energy_data=-5.990e+00,  energy_ebm=-4.694e+00,  regularize_term=6.484e-01
Epoch=18, loss_theta=-1.284e+00,  energy_data=-5.969e+00,  energy_ebm=-4.685e+00,  regularize_term=6.418e-01
Epoch=19, loss_theta=-1.251e+00,  energy_data=-5.883e+00,  energy_ebm=-4.631e+00,  regularize_term=6.260e-01
Epoch=20, loss_theta=-1.256e+00,  energy_data=-5.892e+00,  energy_ebm=-4.636e+00,  regularize_term=6.276e-01
Epoch=21, loss_theta=-1.228e+00,  energy_data=-5.828e+00,  energy_ebm=-4.599e+00,  regularize_term=6.145e-01
Epoch=22, loss_theta=-1.252e+00,  energy_data=-5.881e+00,  energy_ebm=-4.629e+00,  regularize_term=6.257e-01
Epoch=23, loss_theta=-1.245e+00,  energy_data=-5.874e+00,  energy_ebm=-4.629e+00,  regularize_term=6.233e-01
Epoch=24, loss_theta=-1.225e+00,  energy_data=-5.819e+00,  energy_ebm=-4.594e+00,  regularize_term=6.120e-01
Epoch=25, loss_theta=-1.226e+00,  energy_data=-5.817e+00,  energy_ebm=-4.591e+00,  regularize_term=6.123e-01
Epoch=26, loss_theta=-1.238e+00,  energy_data=-5.856e+00,  energy_ebm=-4.618e+00,  regularize_term=6.186e-01
Epoch=27, loss_theta=-1.220e+00,  energy_data=-5.813e+00,  energy_ebm=-4.593e+00,  regularize_term=6.100e-01
Epoch=28, loss_theta=-1.227e+00,  energy_data=-5.832e+00,  energy_ebm=-4.604e+00,  regularize_term=6.135e-01
Epoch=29, loss_theta=-1.201e+00,  energy_data=-5.764e+00,  energy_ebm=-4.563e+00,  regularize_term=6.002e-01
Epoch=30, loss_theta=-1.205e+00,  energy_data=-5.776e+00,  energy_ebm=-4.572e+00,  regularize_term=6.021e-01
Epoch=31, loss_theta=-1.210e+00,  energy_data=-5.790e+00,  energy_ebm=-4.580e+00,  regularize_term=6.049e-01
Epoch=32, loss_theta=-1.219e+00,  energy_data=-5.813e+00,  energy_ebm=-4.593e+00,  regularize_term=6.093e-01
Epoch=33, loss_theta=-1.242e+00,  energy_data=-5.869e+00,  energy_ebm=-4.628e+00,  regularize_term=6.198e-01
Epoch=34, loss_theta=-1.228e+00,  energy_data=-5.829e+00,  energy_ebm=-4.601e+00,  regularize_term=6.144e-01
Epoch=35, loss_theta=-1.177e+00,  energy_data=-5.708e+00,  energy_ebm=-4.531e+00,  regularize_term=5.874e-01
Epoch=36, loss_theta=-1.195e+00,  energy_data=-5.756e+00,  energy_ebm=-4.561e+00,  regularize_term=5.974e-01
Epoch=37, loss_theta=-1.173e+00,  energy_data=-5.699e+00,  energy_ebm=-4.525e+00,  regularize_term=5.863e-01
Epoch=38, loss_theta=-1.191e+00,  energy_data=-5.743e+00,  energy_ebm=-4.551e+00,  regularize_term=5.960e-01
Epoch=39, loss_theta=-1.202e+00,  energy_data=-5.773e+00,  energy_ebm=-4.571e+00,  regularize_term=6.005e-01
Epoch=40, loss_theta=-1.195e+00,  energy_data=-5.754e+00,  energy_ebm=-4.559e+00,  regularize_term=5.970e-01
Epoch=41, loss_theta=-1.167e+00,  energy_data=-5.687e+00,  energy_ebm=-4.520e+00,  regularize_term=5.834e-01
Epoch=42, loss_theta=-1.178e+00,  energy_data=-5.703e+00,  energy_ebm=-4.525e+00,  regularize_term=5.873e-01
