Epoch=1, loss_theta=-6.321e+00,  energy_data=-7.155e+00,  energy_ebm=-8.346e-01,  regularize_term=3.143e+00
Epoch=2, loss_theta=-5.851e+00,  energy_data=-7.048e+00,  energy_ebm=-1.196e+00,  regularize_term=2.926e+00
Epoch=3, loss_theta=-5.619e+00,  energy_data=-6.871e+00,  energy_ebm=-1.251e+00,  regularize_term=2.812e+00
Epoch=4, loss_theta=-5.434e+00,  energy_data=-6.725e+00,  energy_ebm=-1.291e+00,  regularize_term=2.717e+00
Epoch=5, loss_theta=-5.324e+00,  energy_data=-6.637e+00,  energy_ebm=-1.313e+00,  regularize_term=2.665e+00
Epoch=6, loss_theta=-5.309e+00,  energy_data=-6.630e+00,  energy_ebm=-1.321e+00,  regularize_term=2.656e+00
Epoch=7, loss_theta=-5.272e+00,  energy_data=-6.602e+00,  energy_ebm=-1.330e+00,  regularize_term=2.636e+00
Epoch=8, loss_theta=-5.217e+00,  energy_data=-6.557e+00,  energy_ebm=-1.340e+00,  regularize_term=2.609e+00
Epoch=9, loss_theta=-5.275e+00,  energy_data=-6.605e+00,  energy_ebm=-1.330e+00,  regularize_term=2.640e+00
Epoch=10, loss_theta=-5.224e+00,  energy_data=-6.564e+00,  energy_ebm=-1.340e+00,  regularize_term=2.612e+00
Epoch=11, loss_theta=-5.188e+00,  energy_data=-6.539e+00,  energy_ebm=-1.351e+00,  regularize_term=2.594e+00
Epoch=12, loss_theta=-5.195e+00,  energy_data=-6.544e+00,  energy_ebm=-1.349e+00,  regularize_term=2.600e+00
Epoch=13, loss_theta=-5.106e+00,  energy_data=-6.470e+00,  energy_ebm=-1.364e+00,  regularize_term=2.552e+00
Epoch=14, loss_theta=-5.114e+00,  energy_data=-6.483e+00,  energy_ebm=-1.369e+00,  regularize_term=2.558e+00
Epoch=15, loss_theta=-5.104e+00,  energy_data=-6.469e+00,  energy_ebm=-1.366e+00,  regularize_term=2.552e+00
Epoch=16, loss_theta=-5.035e+00,  energy_data=-6.420e+00,  energy_ebm=-1.385e+00,  regularize_term=2.518e+00
Epoch=17, loss_theta=-5.122e+00,  energy_data=-6.490e+00,  energy_ebm=-1.368e+00,  regularize_term=2.560e+00
Epoch=18, loss_theta=-5.045e+00,  energy_data=-6.428e+00,  energy_ebm=-1.383e+00,  regularize_term=2.525e+00
Epoch=19, loss_theta=-5.096e+00,  energy_data=-6.468e+00,  energy_ebm=-1.372e+00,  regularize_term=2.548e+00
Epoch=20, loss_theta=-5.034e+00,  energy_data=-6.421e+00,  energy_ebm=-1.386e+00,  regularize_term=2.517e+00
Epoch=21, loss_theta=-5.046e+00,  energy_data=-6.431e+00,  energy_ebm=-1.385e+00,  regularize_term=2.524e+00
