Epoch=1, loss_theta=-7.743e-01,  energy_data=-4.058e+00,  energy_ebm=-3.283e+00,  regularize_term=1.387e+00
Epoch=2, loss_theta=-3.815e-01,  energy_data=-2.769e+00,  energy_ebm=-2.388e+00,  regularize_term=1.558e-01
Epoch=3, loss_theta=-2.007e-01,  energy_data=-2.183e+00,  energy_ebm=-1.983e+00,  regularize_term=9.075e-02
Epoch=4, loss_theta=-1.741e-01,  energy_data=-2.079e+00,  energy_ebm=-1.904e+00,  regularize_term=8.295e-02
Epoch=5, loss_theta=-1.619e-01,  energy_data=-2.002e+00,  energy_ebm=-1.840e+00,  regularize_term=7.720e-02
Epoch=6, loss_theta=-1.525e-01,  energy_data=-1.941e+00,  energy_ebm=-1.788e+00,  regularize_term=7.302e-02
Epoch=7, loss_theta=-1.487e-01,  energy_data=-1.922e+00,  energy_ebm=-1.773e+00,  regularize_term=7.165e-02
Epoch=8, loss_theta=-1.422e-01,  energy_data=-1.873e+00,  energy_ebm=-1.731e+00,  regularize_term=6.848e-02
Epoch=9, loss_theta=-1.415e-01,  energy_data=-1.876e+00,  energy_ebm=-1.734e+00,  regularize_term=6.840e-02
Epoch=10, loss_theta=-1.398e-01,  energy_data=-1.858e+00,  energy_ebm=-1.719e+00,  regularize_term=6.831e-02
Epoch=11, loss_theta=-1.440e-01,  energy_data=-1.889e+00,  energy_ebm=-1.744e+00,  regularize_term=6.998e-02
Epoch=12, loss_theta=-1.422e-01,  energy_data=-1.877e+00,  energy_ebm=-1.735e+00,  regularize_term=6.941e-02
Epoch=13, loss_theta=-1.394e-01,  energy_data=-1.862e+00,  energy_ebm=-1.723e+00,  regularize_term=6.807e-02
Epoch=14, loss_theta=-1.413e-01,  energy_data=-1.873e+00,  energy_ebm=-1.731e+00,  regularize_term=6.928e-02
Epoch=15, loss_theta=-1.423e-01,  energy_data=-1.879e+00,  energy_ebm=-1.737e+00,  regularize_term=6.993e-02
Epoch=16, loss_theta=-1.374e-01,  energy_data=-1.846e+00,  energy_ebm=-1.709e+00,  regularize_term=6.772e-02
Epoch=17, loss_theta=-1.394e-01,  energy_data=-1.853e+00,  energy_ebm=-1.714e+00,  regularize_term=6.837e-02
Epoch=18, loss_theta=-1.380e-01,  energy_data=-1.849e+00,  energy_ebm=-1.711e+00,  regularize_term=6.804e-02
Epoch=19, loss_theta=-1.370e-01,  energy_data=-1.839e+00,  energy_ebm=-1.702e+00,  regularize_term=6.723e-02
Epoch=20, loss_theta=-1.416e-01,  energy_data=-1.865e+00,  energy_ebm=-1.723e+00,  regularize_term=7.008e-02
Epoch=21, loss_theta=-1.383e-01,  energy_data=-1.848e+00,  energy_ebm=-1.709e+00,  regularize_term=6.784e-02
Epoch=22, loss_theta=-1.386e-01,  energy_data=-1.843e+00,  energy_ebm=-1.704e+00,  regularize_term=6.861e-02
Epoch=23, loss_theta=-1.379e-01,  energy_data=-1.843e+00,  energy_ebm=-1.705e+00,  regularize_term=6.784e-02
