Epoch=1, loss_theta=2.915e+00,  energy_data=-1.052e+01,  energy_ebm=-1.344e+01,  regularize_term=3.539e+01
Epoch=2, loss_theta=-1.793e+00,  energy_data=-2.203e+01,  energy_ebm=-2.024e+01,  regularize_term=9.501e-01
Epoch=3, loss_theta=-1.883e+00,  energy_data=-2.223e+01,  energy_ebm=-2.035e+01,  regularize_term=9.493e-01
Epoch=4, loss_theta=-1.889e+00,  energy_data=-2.220e+01,  energy_ebm=-2.031e+01,  regularize_term=9.466e-01
Epoch=5, loss_theta=-1.856e+00,  energy_data=-2.203e+01,  energy_ebm=-2.017e+01,  regularize_term=9.312e-01
Epoch=6, loss_theta=-1.870e+00,  energy_data=-2.209e+01,  energy_ebm=-2.022e+01,  regularize_term=9.367e-01
Epoch=7, loss_theta=-1.883e+00,  energy_data=-2.216e+01,  energy_ebm=-2.028e+01,  regularize_term=9.429e-01
Epoch=8, loss_theta=-1.838e+00,  energy_data=-2.189e+01,  energy_ebm=-2.005e+01,  regularize_term=9.210e-01
Epoch=9, loss_theta=-1.836e+00,  energy_data=-2.187e+01,  energy_ebm=-2.003e+01,  regularize_term=9.189e-01
Epoch=10, loss_theta=-1.759e+00,  energy_data=-2.139e+01,  energy_ebm=-1.963e+01,  regularize_term=8.809e-01
Epoch=11, loss_theta=-1.878e+00,  energy_data=-2.208e+01,  energy_ebm=-2.020e+01,  regularize_term=9.377e-01
Epoch=12, loss_theta=-1.853e+00,  energy_data=-2.197e+01,  energy_ebm=-2.012e+01,  regularize_term=9.283e-01
Epoch=13, loss_theta=-1.833e+00,  energy_data=-2.184e+01,  energy_ebm=-2.001e+01,  regularize_term=9.169e-01
Epoch=14, loss_theta=-1.750e+00,  energy_data=-2.133e+01,  energy_ebm=-1.959e+01,  regularize_term=8.761e-01
Epoch=15, loss_theta=-1.808e+00,  energy_data=-2.166e+01,  energy_ebm=-1.986e+01,  regularize_term=9.022e-01
Epoch=16, loss_theta=-1.792e+00,  energy_data=-2.156e+01,  energy_ebm=-1.977e+01,  regularize_term=8.957e-01
Epoch=17, loss_theta=-1.763e+00,  energy_data=-2.139e+01,  energy_ebm=-1.963e+01,  regularize_term=8.822e-01
Epoch=18, loss_theta=-1.768e+00,  energy_data=-2.142e+01,  energy_ebm=-1.965e+01,  regularize_term=8.839e-01
Epoch=19, loss_theta=-1.777e+00,  energy_data=-2.148e+01,  energy_ebm=-1.970e+01,  regularize_term=8.887e-01
Epoch=20, loss_theta=-1.766e+00,  energy_data=-2.139e+01,  energy_ebm=-1.963e+01,  regularize_term=8.811e-01
Epoch=21, loss_theta=-1.811e+00,  energy_data=-2.169e+01,  energy_ebm=-1.988e+01,  regularize_term=9.054e-01
Epoch=22, loss_theta=-1.776e+00,  energy_data=-2.145e+01,  energy_ebm=-1.968e+01,  regularize_term=8.899e-01
Epoch=23, loss_theta=-1.757e+00,  energy_data=-2.133e+01,  energy_ebm=-1.957e+01,  regularize_term=8.783e-01
Epoch=24, loss_theta=-1.740e+00,  energy_data=-2.124e+01,  energy_ebm=-1.950e+01,  regularize_term=8.699e-01
Epoch=25, loss_theta=-1.760e+00,  energy_data=-2.138e+01,  energy_ebm=-1.962e+01,  regularize_term=8.825e-01
Epoch=26, loss_theta=-1.770e+00,  energy_data=-2.139e+01,  energy_ebm=-1.962e+01,  regularize_term=8.836e-01
Epoch=27, loss_theta=-1.759e+00,  energy_data=-2.135e+01,  energy_ebm=-1.959e+01,  regularize_term=8.815e-01
Epoch=28, loss_theta=-1.773e+00,  energy_data=-2.140e+01,  energy_ebm=-1.963e+01,  regularize_term=8.856e-01
Epoch=29, loss_theta=-1.817e+00,  energy_data=-2.165e+01,  energy_ebm=-1.984e+01,  regularize_term=9.071e-01
Epoch=30, loss_theta=-1.814e+00,  energy_data=-2.169e+01,  energy_ebm=-1.988e+01,  regularize_term=9.092e-01
Epoch=31, loss_theta=-1.773e+00,  energy_data=-2.143e+01,  energy_ebm=-1.966e+01,  regularize_term=8.882e-01
Epoch=32, loss_theta=-1.732e+00,  energy_data=-2.114e+01,  energy_ebm=-1.940e+01,  regularize_term=8.640e-01
