Epoch=1, loss_theta=2.567e+20,  energy_data=-2.134e+04,  energy_ebm=-2.567e+20
Epoch=2, loss_theta=3.788e+15,  energy_data=-7.478e+04,  energy_ebm=-3.788e+15
Epoch=3, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=4, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=5, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=6, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=7, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=8, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=9, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=10, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=11, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=12, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=13, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=14, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=15, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=16, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=17, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=18, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=19, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=20, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=21, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=22, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=23, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=24, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=25, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=26, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=27, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=28, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=29, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=30, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=31, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=32, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=33, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=34, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=35, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=36, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=37, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=38, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=39, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=40, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=41, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=42, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=43, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=44, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=45, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=46, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=47, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=48, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=49, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
Epoch=50, loss_theta=nan,  energy_data=nan,  energy_ebm=nan
