Epoch=1, loss_theta=-2.203e+00,  energy_data=-2.828e+00,  energy_ebm=-6.252e-01,  regularize_term=1.095e+00
Epoch=2, loss_theta=-1.803e+00,  energy_data=-2.612e+00,  energy_ebm=-8.089e-01,  regularize_term=9.025e-01
Epoch=3, loss_theta=-1.757e+00,  energy_data=-2.572e+00,  energy_ebm=-8.155e-01,  regularize_term=8.797e-01
Epoch=4, loss_theta=-1.740e+00,  energy_data=-2.559e+00,  energy_ebm=-8.182e-01,  regularize_term=8.704e-01
Epoch=5, loss_theta=-1.740e+00,  energy_data=-2.555e+00,  energy_ebm=-8.153e-01,  regularize_term=8.707e-01
Epoch=6, loss_theta=-1.762e+00,  energy_data=-2.578e+00,  energy_ebm=-8.159e-01,  regularize_term=8.816e-01
Epoch=7, loss_theta=-1.736e+00,  energy_data=-2.553e+00,  energy_ebm=-8.170e-01,  regularize_term=8.678e-01
Epoch=8, loss_theta=-1.756e+00,  energy_data=-2.573e+00,  energy_ebm=-8.167e-01,  regularize_term=8.787e-01
Epoch=9, loss_theta=-1.758e+00,  energy_data=-2.575e+00,  energy_ebm=-8.166e-01,  regularize_term=8.794e-01
Epoch=10, loss_theta=-1.749e+00,  energy_data=-2.565e+00,  energy_ebm=-8.161e-01,  regularize_term=8.742e-01
Epoch=11, loss_theta=-1.744e+00,  energy_data=-2.560e+00,  energy_ebm=-8.164e-01,  regularize_term=8.718e-01
Epoch=12, loss_theta=-1.747e+00,  energy_data=-2.566e+00,  energy_ebm=-8.190e-01,  regularize_term=8.738e-01
Epoch=13, loss_theta=-1.767e+00,  energy_data=-2.582e+00,  energy_ebm=-8.155e-01,  regularize_term=8.837e-01
Epoch=14, loss_theta=-1.773e+00,  energy_data=-2.590e+00,  energy_ebm=-8.173e-01,  regularize_term=8.869e-01
Epoch=15, loss_theta=-1.747e+00,  energy_data=-2.563e+00,  energy_ebm=-8.163e-01,  regularize_term=8.725e-01
Epoch=16, loss_theta=-1.762e+00,  energy_data=-2.580e+00,  energy_ebm=-8.186e-01,  regularize_term=8.817e-01
Epoch=17, loss_theta=-1.742e+00,  energy_data=-2.561e+00,  energy_ebm=-8.190e-01,  regularize_term=8.705e-01
Epoch=18, loss_theta=-1.754e+00,  energy_data=-2.572e+00,  energy_ebm=-8.182e-01,  regularize_term=8.768e-01
Epoch=19, loss_theta=-1.767e+00,  energy_data=-2.586e+00,  energy_ebm=-8.182e-01,  regularize_term=8.842e-01
Epoch=20, loss_theta=-1.766e+00,  energy_data=-2.583e+00,  energy_ebm=-8.175e-01,  regularize_term=8.829e-01
Epoch=21, loss_theta=-1.757e+00,  energy_data=-2.574e+00,  energy_ebm=-8.166e-01,  regularize_term=8.778e-01
Epoch=22, loss_theta=-1.766e+00,  energy_data=-2.583e+00,  energy_ebm=-8.175e-01,  regularize_term=8.829e-01
Epoch=23, loss_theta=-1.759e+00,  energy_data=-2.577e+00,  energy_ebm=-8.185e-01,  regularize_term=8.801e-01
Epoch=24, loss_theta=-1.740e+00,  energy_data=-2.559e+00,  energy_ebm=-8.193e-01,  regularize_term=8.702e-01
Epoch=25, loss_theta=-1.766e+00,  energy_data=-2.583e+00,  energy_ebm=-8.172e-01,  regularize_term=8.826e-01
