Epoch=1, loss_theta=-5.194e-01,  energy_data=-2.435e+00,  energy_ebm=-1.916e+00,  regularize_term=5.259e+00
Epoch=2, loss_theta=-6.157e-01,  energy_data=-4.177e+00,  energy_ebm=-3.562e+00,  regularize_term=3.327e-01
Epoch=3, loss_theta=-5.937e-01,  energy_data=-4.005e+00,  energy_ebm=-3.412e+00,  regularize_term=3.011e-01
Epoch=4, loss_theta=-6.289e-01,  energy_data=-4.125e+00,  energy_ebm=-3.496e+00,  regularize_term=3.179e-01
Epoch=5, loss_theta=-6.485e-01,  energy_data=-4.187e+00,  energy_ebm=-3.538e+00,  regularize_term=3.261e-01
Epoch=6, loss_theta=-6.520e-01,  energy_data=-4.193e+00,  energy_ebm=-3.541e+00,  regularize_term=3.274e-01
Epoch=7, loss_theta=-6.964e-01,  energy_data=-4.338e+00,  energy_ebm=-3.642e+00,  regularize_term=3.492e-01
Epoch=8, loss_theta=-6.686e-01,  energy_data=-4.241e+00,  energy_ebm=-3.572e+00,  regularize_term=3.344e-01
Epoch=9, loss_theta=-7.004e-01,  energy_data=-4.356e+00,  energy_ebm=-3.656e+00,  regularize_term=3.519e-01
Epoch=10, loss_theta=-7.012e-01,  energy_data=-4.347e+00,  energy_ebm=-3.646e+00,  regularize_term=3.514e-01
Epoch=11, loss_theta=-6.698e-01,  energy_data=-4.249e+00,  energy_ebm=-3.579e+00,  regularize_term=3.357e-01
Epoch=12, loss_theta=-6.908e-01,  energy_data=-4.309e+00,  energy_ebm=-3.618e+00,  regularize_term=3.456e-01
Epoch=13, loss_theta=-7.066e-01,  energy_data=-4.362e+00,  energy_ebm=-3.655e+00,  regularize_term=3.543e-01
Epoch=14, loss_theta=-7.084e-01,  energy_data=-4.370e+00,  energy_ebm=-3.661e+00,  regularize_term=3.550e-01
Epoch=15, loss_theta=-7.223e-01,  energy_data=-4.419e+00,  energy_ebm=-3.696e+00,  regularize_term=3.617e-01
Epoch=16, loss_theta=-7.027e-01,  energy_data=-4.347e+00,  energy_ebm=-3.645e+00,  regularize_term=3.518e-01
Epoch=17, loss_theta=-7.049e-01,  energy_data=-4.362e+00,  energy_ebm=-3.657e+00,  regularize_term=3.535e-01
Epoch=18, loss_theta=-7.086e-01,  energy_data=-4.362e+00,  energy_ebm=-3.653e+00,  regularize_term=3.536e-01
Epoch=19, loss_theta=-6.912e-01,  energy_data=-4.313e+00,  energy_ebm=-3.622e+00,  regularize_term=3.462e-01
Epoch=20, loss_theta=-7.116e-01,  energy_data=-4.383e+00,  energy_ebm=-3.671e+00,  regularize_term=3.564e-01
Epoch=21, loss_theta=-7.089e-01,  energy_data=-4.370e+00,  energy_ebm=-3.661e+00,  regularize_term=3.544e-01
Epoch=22, loss_theta=-6.984e-01,  energy_data=-4.333e+00,  energy_ebm=-3.635e+00,  regularize_term=3.498e-01
Epoch=23, loss_theta=-7.106e-01,  energy_data=-4.371e+00,  energy_ebm=-3.661e+00,  regularize_term=3.551e-01
Epoch=24, loss_theta=-7.093e-01,  energy_data=-4.376e+00,  energy_ebm=-3.666e+00,  regularize_term=3.552e-01
Epoch=25, loss_theta=-7.221e-01,  energy_data=-4.415e+00,  energy_ebm=-3.693e+00,  regularize_term=3.611e-01
Epoch=26, loss_theta=-7.113e-01,  energy_data=-4.372e+00,  energy_ebm=-3.660e+00,  regularize_term=3.557e-01
Epoch=27, loss_theta=-7.094e-01,  energy_data=-4.376e+00,  energy_ebm=-3.666e+00,  regularize_term=3.552e-01
Epoch=28, loss_theta=-6.922e-01,  energy_data=-4.311e+00,  energy_ebm=-3.618e+00,  regularize_term=3.461e-01
Epoch=29, loss_theta=-7.210e-01,  energy_data=-4.406e+00,  energy_ebm=-3.685e+00,  regularize_term=3.601e-01
Epoch=30, loss_theta=-7.172e-01,  energy_data=-4.397e+00,  energy_ebm=-3.679e+00,  regularize_term=3.586e-01
Epoch=31, loss_theta=-7.388e-01,  energy_data=-4.471e+00,  energy_ebm=-3.732e+00,  regularize_term=3.697e-01
Epoch=32, loss_theta=-7.347e-01,  energy_data=-4.460e+00,  energy_ebm=-3.725e+00,  regularize_term=3.675e-01
Epoch=33, loss_theta=-7.116e-01,  energy_data=-4.380e+00,  energy_ebm=-3.668e+00,  regularize_term=3.552e-01
Epoch=34, loss_theta=-7.420e-01,  energy_data=-4.476e+00,  energy_ebm=-3.734e+00,  regularize_term=3.713e-01
Epoch=35, loss_theta=-6.909e-01,  energy_data=-4.311e+00,  energy_ebm=-3.621e+00,  regularize_term=3.452e-01
Epoch=36, loss_theta=-7.120e-01,  energy_data=-4.381e+00,  energy_ebm=-3.669e+00,  regularize_term=3.558e-01
Epoch=37, loss_theta=-7.244e-01,  energy_data=-4.425e+00,  energy_ebm=-3.700e+00,  regularize_term=3.622e-01
