Epoch=1, loss_theta=-1.112e+00,  energy_data=-2.331e+00,  energy_ebm=-1.219e+00,  regularize_term=5.655e-01
Epoch=2, loss_theta=-5.784e-01,  energy_data=-1.841e+00,  energy_ebm=-1.263e+00,  regularize_term=2.899e-01
Epoch=3, loss_theta=-5.606e-01,  energy_data=-1.811e+00,  energy_ebm=-1.250e+00,  regularize_term=2.810e-01
Epoch=4, loss_theta=-5.417e-01,  energy_data=-1.780e+00,  energy_ebm=-1.239e+00,  regularize_term=2.725e-01
Epoch=5, loss_theta=-5.528e-01,  energy_data=-1.797e+00,  energy_ebm=-1.244e+00,  regularize_term=2.769e-01
Epoch=6, loss_theta=-5.474e-01,  energy_data=-1.786e+00,  energy_ebm=-1.239e+00,  regularize_term=2.748e-01
Epoch=7, loss_theta=-5.486e-01,  energy_data=-1.786e+00,  energy_ebm=-1.238e+00,  regularize_term=2.738e-01
Epoch=8, loss_theta=-5.601e-01,  energy_data=-1.809e+00,  energy_ebm=-1.249e+00,  regularize_term=2.806e-01
Epoch=9, loss_theta=-5.497e-01,  energy_data=-1.789e+00,  energy_ebm=-1.240e+00,  regularize_term=2.748e-01
Epoch=10, loss_theta=-5.486e-01,  energy_data=-1.790e+00,  energy_ebm=-1.242e+00,  regularize_term=2.744e-01
Epoch=11, loss_theta=-5.650e-01,  energy_data=-1.818e+00,  energy_ebm=-1.253e+00,  regularize_term=2.829e-01
Epoch=12, loss_theta=-5.450e-01,  energy_data=-1.783e+00,  energy_ebm=-1.238e+00,  regularize_term=2.724e-01
Epoch=13, loss_theta=-5.543e-01,  energy_data=-1.795e+00,  energy_ebm=-1.241e+00,  regularize_term=2.768e-01
Epoch=14, loss_theta=-5.741e-01,  energy_data=-1.831e+00,  energy_ebm=-1.257e+00,  regularize_term=2.868e-01
Epoch=15, loss_theta=-5.737e-01,  energy_data=-1.833e+00,  energy_ebm=-1.260e+00,  regularize_term=2.869e-01
Epoch=16, loss_theta=-5.745e-01,  energy_data=-1.835e+00,  energy_ebm=-1.260e+00,  regularize_term=2.871e-01
Epoch=17, loss_theta=-5.543e-01,  energy_data=-1.800e+00,  energy_ebm=-1.245e+00,  regularize_term=2.771e-01
Epoch=18, loss_theta=-5.773e-01,  energy_data=-1.840e+00,  energy_ebm=-1.262e+00,  regularize_term=2.888e-01
Epoch=19, loss_theta=-5.676e-01,  energy_data=-1.821e+00,  energy_ebm=-1.254e+00,  regularize_term=2.833e-01
Epoch=20, loss_theta=-5.635e-01,  energy_data=-1.815e+00,  energy_ebm=-1.252e+00,  regularize_term=2.814e-01
Epoch=21, loss_theta=-5.655e-01,  energy_data=-1.819e+00,  energy_ebm=-1.254e+00,  regularize_term=2.826e-01
Epoch=22, loss_theta=-5.571e-01,  energy_data=-1.807e+00,  energy_ebm=-1.250e+00,  regularize_term=2.788e-01
Epoch=23, loss_theta=-5.654e-01,  energy_data=-1.821e+00,  energy_ebm=-1.255e+00,  regularize_term=2.828e-01
Epoch=24, loss_theta=-5.641e-01,  energy_data=-1.818e+00,  energy_ebm=-1.254e+00,  regularize_term=2.813e-01
Epoch=25, loss_theta=-5.670e-01,  energy_data=-1.823e+00,  energy_ebm=-1.256e+00,  regularize_term=2.839e-01
Epoch=26, loss_theta=-5.617e-01,  energy_data=-1.811e+00,  energy_ebm=-1.250e+00,  regularize_term=2.801e-01
Epoch=27, loss_theta=-5.777e-01,  energy_data=-1.845e+00,  energy_ebm=-1.267e+00,  regularize_term=2.891e-01
Epoch=28, loss_theta=-5.668e-01,  energy_data=-1.823e+00,  energy_ebm=-1.256e+00,  regularize_term=2.827e-01
Epoch=29, loss_theta=-5.564e-01,  energy_data=-1.806e+00,  energy_ebm=-1.250e+00,  regularize_term=2.781e-01
Epoch=30, loss_theta=-5.578e-01,  energy_data=-1.809e+00,  energy_ebm=-1.251e+00,  regularize_term=2.787e-01
Epoch=31, loss_theta=-5.614e-01,  energy_data=-1.816e+00,  energy_ebm=-1.254e+00,  regularize_term=2.806e-01
Epoch=32, loss_theta=-5.639e-01,  energy_data=-1.820e+00,  energy_ebm=-1.256e+00,  regularize_term=2.816e-01
Epoch=33, loss_theta=-5.652e-01,  energy_data=-1.824e+00,  energy_ebm=-1.258e+00,  regularize_term=2.826e-01
Epoch=34, loss_theta=-5.671e-01,  energy_data=-1.825e+00,  energy_ebm=-1.258e+00,  regularize_term=2.835e-01
Epoch=35, loss_theta=-5.687e-01,  energy_data=-1.828e+00,  energy_ebm=-1.259e+00,  regularize_term=2.838e-01
Epoch=36, loss_theta=-5.740e-01,  energy_data=-1.840e+00,  energy_ebm=-1.266e+00,  regularize_term=2.874e-01
Epoch=37, loss_theta=-5.677e-01,  energy_data=-1.826e+00,  energy_ebm=-1.259e+00,  regularize_term=2.835e-01
Epoch=38, loss_theta=-5.764e-01,  energy_data=-1.842e+00,  energy_ebm=-1.266e+00,  regularize_term=2.880e-01
Epoch=39, loss_theta=-5.638e-01,  energy_data=-1.819e+00,  energy_ebm=-1.256e+00,  regularize_term=2.816e-01
Epoch=40, loss_theta=-5.606e-01,  energy_data=-1.815e+00,  energy_ebm=-1.255e+00,  regularize_term=2.802e-01
Epoch=41, loss_theta=-5.651e-01,  energy_data=-1.824e+00,  energy_ebm=-1.259e+00,  regularize_term=2.824e-01
Epoch=42, loss_theta=-5.573e-01,  energy_data=-1.808e+00,  energy_ebm=-1.251e+00,  regularize_term=2.782e-01
Epoch=43, loss_theta=-5.779e-01,  energy_data=-1.846e+00,  energy_ebm=-1.269e+00,  regularize_term=2.891e-01
Epoch=44, loss_theta=-5.523e-01,  energy_data=-1.800e+00,  energy_ebm=-1.248e+00,  regularize_term=2.760e-01
Epoch=45, loss_theta=-5.629e-01,  energy_data=-1.818e+00,  energy_ebm=-1.255e+00,  regularize_term=2.810e-01
Epoch=46, loss_theta=-5.703e-01,  energy_data=-1.833e+00,  energy_ebm=-1.263e+00,  regularize_term=2.849e-01
Epoch=47, loss_theta=-5.658e-01,  energy_data=-1.824e+00,  energy_ebm=-1.258e+00,  regularize_term=2.828e-01
Epoch=48, loss_theta=-5.571e-01,  energy_data=-1.809e+00,  energy_ebm=-1.252e+00,  regularize_term=2.785e-01
Epoch=49, loss_theta=-5.747e-01,  energy_data=-1.840e+00,  energy_ebm=-1.265e+00,  regularize_term=2.869e-01
Epoch=50, loss_theta=-5.616e-01,  energy_data=-1.819e+00,  energy_ebm=-1.257e+00,  regularize_term=2.810e-01
