Epoch=1, loss_theta=4.493e-01,  energy_data=-2.326e-01,  energy_ebm=-6.819e-01,  regularize_term=1.387e+01
Epoch=2, loss_theta=-5.642e-02,  energy_data=-1.199e-01,  energy_ebm=-6.353e-02,  regularize_term=1.832e-03
Epoch=3, loss_theta=-8.957e-01,  energy_data=-4.759e+00,  energy_ebm=-3.863e+00,  regularize_term=4.596e-01
Epoch=4, loss_theta=-5.465e-01,  energy_data=-3.810e+00,  energy_ebm=-3.263e+00,  regularize_term=2.738e-01
Epoch=5, loss_theta=-5.492e-01,  energy_data=-3.835e+00,  energy_ebm=-3.286e+00,  regularize_term=2.769e-01
Epoch=6, loss_theta=-5.541e-01,  energy_data=-3.847e+00,  energy_ebm=-3.293e+00,  regularize_term=2.773e-01
Epoch=7, loss_theta=-5.520e-01,  energy_data=-3.844e+00,  energy_ebm=-3.292e+00,  regularize_term=2.768e-01
Epoch=8, loss_theta=-5.448e-01,  energy_data=-3.820e+00,  energy_ebm=-3.276e+00,  regularize_term=2.731e-01
Epoch=9, loss_theta=-5.304e-01,  energy_data=-3.765e+00,  energy_ebm=-3.235e+00,  regularize_term=2.657e-01
Epoch=10, loss_theta=-5.267e-01,  energy_data=-3.755e+00,  energy_ebm=-3.228e+00,  regularize_term=2.644e-01
Epoch=11, loss_theta=-5.439e-01,  energy_data=-3.804e+00,  energy_ebm=-3.260e+00,  regularize_term=2.719e-01
Epoch=12, loss_theta=-5.402e-01,  energy_data=-3.802e+00,  energy_ebm=-3.262e+00,  regularize_term=2.707e-01
Epoch=13, loss_theta=-5.397e-01,  energy_data=-3.797e+00,  energy_ebm=-3.258e+00,  regularize_term=2.703e-01
