Epoch=1, loss_theta=-1.665e+00,  energy_data=-2.307e+00,  energy_ebm=-6.429e-01,  regularize_term=8.251e-01
Epoch=2, loss_theta=-1.256e+00,  energy_data=-2.105e+00,  energy_ebm=-8.492e-01,  regularize_term=6.293e-01
Epoch=3, loss_theta=-1.158e+00,  energy_data=-2.009e+00,  energy_ebm=-8.503e-01,  regularize_term=5.802e-01
Epoch=4, loss_theta=-1.106e+00,  energy_data=-1.956e+00,  energy_ebm=-8.495e-01,  regularize_term=5.550e-01
Epoch=5, loss_theta=-1.090e+00,  energy_data=-1.938e+00,  energy_ebm=-8.477e-01,  regularize_term=5.452e-01
Epoch=6, loss_theta=-1.083e+00,  energy_data=-1.928e+00,  energy_ebm=-8.453e-01,  regularize_term=5.421e-01
Epoch=7, loss_theta=-1.084e+00,  energy_data=-1.934e+00,  energy_ebm=-8.494e-01,  regularize_term=5.419e-01
Epoch=8, loss_theta=-1.087e+00,  energy_data=-1.935e+00,  energy_ebm=-8.478e-01,  regularize_term=5.434e-01
Epoch=9, loss_theta=-1.096e+00,  energy_data=-1.945e+00,  energy_ebm=-8.491e-01,  regularize_term=5.482e-01
Epoch=10, loss_theta=-1.091e+00,  energy_data=-1.940e+00,  energy_ebm=-8.497e-01,  regularize_term=5.453e-01
Epoch=11, loss_theta=-1.064e+00,  energy_data=-1.912e+00,  energy_ebm=-8.483e-01,  regularize_term=5.320e-01
Epoch=12, loss_theta=-1.090e+00,  energy_data=-1.938e+00,  energy_ebm=-8.481e-01,  regularize_term=5.451e-01
Epoch=13, loss_theta=-1.097e+00,  energy_data=-1.948e+00,  energy_ebm=-8.506e-01,  regularize_term=5.483e-01
Epoch=14, loss_theta=-1.099e+00,  energy_data=-1.948e+00,  energy_ebm=-8.489e-01,  regularize_term=5.495e-01
Epoch=15, loss_theta=-1.089e+00,  energy_data=-1.940e+00,  energy_ebm=-8.506e-01,  regularize_term=5.446e-01
Epoch=16, loss_theta=-1.087e+00,  energy_data=-1.938e+00,  energy_ebm=-8.510e-01,  regularize_term=5.438e-01
Epoch=17, loss_theta=-1.091e+00,  energy_data=-1.940e+00,  energy_ebm=-8.490e-01,  regularize_term=5.451e-01
