Epoch=1, loss_theta=-5.050e+00,  energy_data=-1.022e+01,  energy_ebm=-5.166e+00,  regularize_term=2.567e+00
Epoch=2, loss_theta=-3.443e+00,  energy_data=-1.013e+01,  energy_ebm=-6.686e+00,  regularize_term=1.727e+00
Epoch=3, loss_theta=-2.733e+00,  energy_data=-8.953e+00,  energy_ebm=-6.220e+00,  regularize_term=1.373e+00
Epoch=4, loss_theta=-2.512e+00,  energy_data=-8.552e+00,  energy_ebm=-6.040e+00,  regularize_term=1.262e+00
Epoch=5, loss_theta=-2.339e+00,  energy_data=-8.228e+00,  energy_ebm=-5.889e+00,  regularize_term=1.172e+00
Epoch=6, loss_theta=-2.226e+00,  energy_data=-8.001e+00,  energy_ebm=-5.776e+00,  regularize_term=1.114e+00
Epoch=7, loss_theta=-2.128e+00,  energy_data=-7.813e+00,  energy_ebm=-5.684e+00,  regularize_term=1.068e+00
Epoch=8, loss_theta=-2.113e+00,  energy_data=-7.780e+00,  energy_ebm=-5.667e+00,  regularize_term=1.058e+00
Epoch=9, loss_theta=-2.044e+00,  energy_data=-7.649e+00,  energy_ebm=-5.605e+00,  regularize_term=1.025e+00
Epoch=10, loss_theta=-1.993e+00,  energy_data=-7.536e+00,  energy_ebm=-5.542e+00,  regularize_term=9.965e-01
Epoch=11, loss_theta=-2.001e+00,  energy_data=-7.554e+00,  energy_ebm=-5.552e+00,  regularize_term=1.002e+00
Epoch=12, loss_theta=-1.963e+00,  energy_data=-7.481e+00,  energy_ebm=-5.517e+00,  regularize_term=9.811e-01
Epoch=13, loss_theta=-1.915e+00,  energy_data=-7.380e+00,  energy_ebm=-5.465e+00,  regularize_term=9.596e-01
Epoch=14, loss_theta=-1.849e+00,  energy_data=-7.237e+00,  energy_ebm=-5.388e+00,  regularize_term=9.255e-01
Epoch=15, loss_theta=-1.869e+00,  energy_data=-7.274e+00,  energy_ebm=-5.405e+00,  regularize_term=9.347e-01
Epoch=16, loss_theta=-1.839e+00,  energy_data=-7.200e+00,  energy_ebm=-5.361e+00,  regularize_term=9.184e-01
Epoch=17, loss_theta=-1.822e+00,  energy_data=-7.177e+00,  energy_ebm=-5.355e+00,  regularize_term=9.109e-01
Epoch=18, loss_theta=-1.820e+00,  energy_data=-7.192e+00,  energy_ebm=-5.372e+00,  regularize_term=9.099e-01
Epoch=19, loss_theta=-1.819e+00,  energy_data=-7.171e+00,  energy_ebm=-5.352e+00,  regularize_term=9.102e-01
Epoch=20, loss_theta=-1.829e+00,  energy_data=-7.193e+00,  energy_ebm=-5.364e+00,  regularize_term=9.143e-01
Epoch=21, loss_theta=-1.811e+00,  energy_data=-7.170e+00,  energy_ebm=-5.359e+00,  regularize_term=9.065e-01
Epoch=22, loss_theta=-1.771e+00,  energy_data=-7.067e+00,  energy_ebm=-5.296e+00,  regularize_term=8.847e-01
Epoch=23, loss_theta=-1.767e+00,  energy_data=-7.065e+00,  energy_ebm=-5.298e+00,  regularize_term=8.827e-01
Epoch=24, loss_theta=-1.776e+00,  energy_data=-7.100e+00,  energy_ebm=-5.324e+00,  regularize_term=8.897e-01
Epoch=25, loss_theta=-1.787e+00,  energy_data=-7.112e+00,  energy_ebm=-5.325e+00,  regularize_term=8.923e-01
Epoch=26, loss_theta=-1.782e+00,  energy_data=-7.109e+00,  energy_ebm=-5.327e+00,  regularize_term=8.914e-01
Epoch=27, loss_theta=-1.750e+00,  energy_data=-7.038e+00,  energy_ebm=-5.288e+00,  regularize_term=8.751e-01
Epoch=28, loss_theta=-1.789e+00,  energy_data=-7.119e+00,  energy_ebm=-5.330e+00,  regularize_term=8.933e-01
Epoch=29, loss_theta=-1.786e+00,  energy_data=-7.120e+00,  energy_ebm=-5.334e+00,  regularize_term=8.940e-01
