Epoch=1, loss_theta=4.024e+00,  energy_data=-6.402e+00,  energy_ebm=-1.043e+01,  regularize_term=5.988e+01
Epoch=2, loss_theta=-8.075e-01,  energy_data=-1.355e+01,  energy_ebm=-1.274e+01,  regularize_term=3.660e-01
Epoch=3, loss_theta=-1.090e+00,  energy_data=-1.668e+01,  energy_ebm=-1.559e+01,  regularize_term=5.390e-01
Epoch=4, loss_theta=-1.108e+00,  energy_data=-1.691e+01,  energy_ebm=-1.580e+01,  regularize_term=5.536e-01
Epoch=5, loss_theta=-1.080e+00,  energy_data=-1.673e+01,  energy_ebm=-1.565e+01,  regularize_term=5.425e-01
Epoch=6, loss_theta=-1.067e+00,  energy_data=-1.659e+01,  energy_ebm=-1.552e+01,  regularize_term=5.334e-01
Epoch=7, loss_theta=-1.102e+00,  energy_data=-1.684e+01,  energy_ebm=-1.574e+01,  regularize_term=5.495e-01
Epoch=8, loss_theta=-1.092e+00,  energy_data=-1.682e+01,  energy_ebm=-1.573e+01,  regularize_term=5.484e-01
Epoch=9, loss_theta=-1.086e+00,  energy_data=-1.674e+01,  energy_ebm=-1.565e+01,  regularize_term=5.428e-01
Epoch=10, loss_theta=-1.082e+00,  energy_data=-1.672e+01,  energy_ebm=-1.564e+01,  regularize_term=5.421e-01
Epoch=11, loss_theta=-1.057e+00,  energy_data=-1.650e+01,  energy_ebm=-1.544e+01,  regularize_term=5.280e-01
Epoch=12, loss_theta=-1.046e+00,  energy_data=-1.642e+01,  energy_ebm=-1.538e+01,  regularize_term=5.228e-01
Epoch=13, loss_theta=-1.057e+00,  energy_data=-1.650e+01,  energy_ebm=-1.544e+01,  regularize_term=5.285e-01
Epoch=14, loss_theta=-1.066e+00,  energy_data=-1.656e+01,  energy_ebm=-1.550e+01,  regularize_term=5.325e-01
Epoch=15, loss_theta=-1.033e+00,  energy_data=-1.633e+01,  energy_ebm=-1.530e+01,  regularize_term=5.170e-01
Epoch=16, loss_theta=-1.019e+00,  energy_data=-1.621e+01,  energy_ebm=-1.519e+01,  regularize_term=5.099e-01
Epoch=17, loss_theta=-1.019e+00,  energy_data=-1.621e+01,  energy_ebm=-1.519e+01,  regularize_term=5.099e-01
Epoch=18, loss_theta=-1.034e+00,  energy_data=-1.632e+01,  energy_ebm=-1.528e+01,  regularize_term=5.169e-01
Epoch=19, loss_theta=-1.025e+00,  energy_data=-1.623e+01,  energy_ebm=-1.521e+01,  regularize_term=5.117e-01
Epoch=20, loss_theta=-1.052e+00,  energy_data=-1.648e+01,  energy_ebm=-1.542e+01,  regularize_term=5.266e-01
Epoch=21, loss_theta=-1.047e+00,  energy_data=-1.644e+01,  energy_ebm=-1.540e+01,  regularize_term=5.245e-01
Epoch=22, loss_theta=-1.042e+00,  energy_data=-1.639e+01,  energy_ebm=-1.535e+01,  regularize_term=5.213e-01
Epoch=23, loss_theta=-1.085e+00,  energy_data=-1.673e+01,  energy_ebm=-1.564e+01,  regularize_term=5.428e-01
Epoch=24, loss_theta=-1.049e+00,  energy_data=-1.645e+01,  energy_ebm=-1.540e+01,  regularize_term=5.247e-01
Epoch=25, loss_theta=-1.045e+00,  energy_data=-1.639e+01,  energy_ebm=-1.534e+01,  regularize_term=5.213e-01
Epoch=26, loss_theta=-1.051e+00,  energy_data=-1.648e+01,  energy_ebm=-1.543e+01,  regularize_term=5.275e-01
Epoch=27, loss_theta=-1.033e+00,  energy_data=-1.630e+01,  energy_ebm=-1.527e+01,  regularize_term=5.159e-01
Epoch=28, loss_theta=-1.062e+00,  energy_data=-1.655e+01,  energy_ebm=-1.548e+01,  regularize_term=5.314e-01
Epoch=29, loss_theta=-1.038e+00,  energy_data=-1.635e+01,  energy_ebm=-1.532e+01,  regularize_term=5.196e-01
Epoch=30, loss_theta=-1.021e+00,  energy_data=-1.620e+01,  energy_ebm=-1.518e+01,  regularize_term=5.102e-01
Epoch=31, loss_theta=-1.043e+00,  energy_data=-1.639e+01,  energy_ebm=-1.534e+01,  regularize_term=5.213e-01
Epoch=32, loss_theta=-1.029e+00,  energy_data=-1.629e+01,  energy_ebm=-1.526e+01,  regularize_term=5.159e-01
Epoch=33, loss_theta=-1.052e+00,  energy_data=-1.647e+01,  energy_ebm=-1.542e+01,  regularize_term=5.264e-01
Epoch=34, loss_theta=-1.061e+00,  energy_data=-1.653e+01,  energy_ebm=-1.547e+01,  regularize_term=5.308e-01
Epoch=35, loss_theta=-1.045e+00,  energy_data=-1.641e+01,  energy_ebm=-1.537e+01,  regularize_term=5.228e-01
Epoch=36, loss_theta=-1.025e+00,  energy_data=-1.623e+01,  energy_ebm=-1.520e+01,  regularize_term=5.122e-01
Epoch=37, loss_theta=-1.051e+00,  energy_data=-1.645e+01,  energy_ebm=-1.540e+01,  regularize_term=5.257e-01
Epoch=38, loss_theta=-1.055e+00,  energy_data=-1.648e+01,  energy_ebm=-1.543e+01,  regularize_term=5.286e-01
Epoch=39, loss_theta=-1.017e+00,  energy_data=-1.617e+01,  energy_ebm=-1.515e+01,  regularize_term=5.078e-01
Epoch=40, loss_theta=-1.043e+00,  energy_data=-1.640e+01,  energy_ebm=-1.536e+01,  regularize_term=5.225e-01
Epoch=41, loss_theta=-1.020e+00,  energy_data=-1.620e+01,  energy_ebm=-1.518e+01,  regularize_term=5.097e-01
Epoch=42, loss_theta=-1.031e+00,  energy_data=-1.630e+01,  energy_ebm=-1.527e+01,  regularize_term=5.161e-01
Epoch=43, loss_theta=-1.049e+00,  energy_data=-1.644e+01,  energy_ebm=-1.539e+01,  regularize_term=5.245e-01
Epoch=44, loss_theta=-1.042e+00,  energy_data=-1.637e+01,  energy_ebm=-1.532e+01,  regularize_term=5.205e-01
Epoch=45, loss_theta=-1.040e+00,  energy_data=-1.636e+01,  energy_ebm=-1.532e+01,  regularize_term=5.194e-01
Epoch=46, loss_theta=-1.051e+00,  energy_data=-1.646e+01,  energy_ebm=-1.541e+01,  regularize_term=5.261e-01
Epoch=47, loss_theta=-1.051e+00,  energy_data=-1.642e+01,  energy_ebm=-1.537e+01,  regularize_term=5.244e-01
Epoch=48, loss_theta=-1.029e+00,  energy_data=-1.631e+01,  energy_ebm=-1.528e+01,  regularize_term=5.162e-01
Epoch=49, loss_theta=-1.031e+00,  energy_data=-1.628e+01,  energy_ebm=-1.525e+01,  regularize_term=5.148e-01
Epoch=50, loss_theta=-1.037e+00,  energy_data=-1.634e+01,  energy_ebm=-1.530e+01,  regularize_term=5.181e-01
