Epoch=1, loss=-3.988e-02,  energy_data=7.139e-01,  energy_ebm=7.639e-01
Epoch=2, loss=-1.133e-02,  energy_data=8.272e-01,  energy_ebm=8.426e-01
Epoch=3, loss=-6.523e-03,  energy_data=5.476e-01,  energy_ebm=5.558e-01
Epoch=4, loss=-6.636e-03,  energy_data=7.652e-01,  energy_ebm=7.751e-01
Epoch=5, loss=-6.195e-03,  energy_data=6.987e-01,  energy_ebm=7.075e-01
Epoch=6, loss=-4.977e-03,  energy_data=6.688e-01,  energy_ebm=6.762e-01
Epoch=7, loss=-1.660e-03,  energy_data=6.452e-01,  energy_ebm=6.491e-01
Epoch=8, loss=-2.338e-03,  energy_data=5.612e-01,  energy_ebm=5.652e-01
Epoch=9, loss=-2.641e-03,  energy_data=5.396e-01,  energy_ebm=5.438e-01
Epoch=10, loss=-1.231e-03,  energy_data=5.062e-01,  energy_ebm=5.089e-01
Epoch=11, loss=-1.688e-03,  energy_data=4.990e-01,  energy_ebm=5.021e-01
Epoch=12, loss=-1.335e-03,  energy_data=4.796e-01,  energy_ebm=4.823e-01
Epoch=13, loss=-2.028e-03,  energy_data=4.842e-01,  energy_ebm=4.875e-01
Epoch=14, loss=-8.716e-04,  energy_data=4.645e-01,  energy_ebm=4.666e-01
Epoch=15, loss=-2.315e-03,  energy_data=4.677e-01,  energy_ebm=4.713e-01
Epoch=16, loss=-1.227e-03,  energy_data=4.407e-01,  energy_ebm=4.431e-01
Epoch=17, loss=-1.152e-03,  energy_data=4.607e-01,  energy_ebm=4.630e-01
