Epoch=1, loss=-1.167e-01,  energy_data=1.416e-01,  energy_ebm=2.585e-01
Epoch=2, loss=-9.394e-02,  energy_data=2.861e+00,  energy_ebm=3.037e+00
Epoch=3, loss=7.846e-03,  energy_data=8.501e-01,  energy_ebm=8.497e-01
Epoch=4, loss=-2.663e-02,  energy_data=4.738e-01,  energy_ebm=5.024e-01
Epoch=5, loss=-3.827e-02,  energy_data=6.925e-01,  energy_ebm=7.339e-01
Epoch=6, loss=-7.087e-03,  energy_data=1.327e+00,  energy_ebm=1.344e+00
Epoch=7, loss=-2.692e-02,  energy_data=1.106e+00,  energy_ebm=1.140e+00
Epoch=8, loss=-2.362e-02,  energy_data=7.401e-01,  energy_ebm=7.673e-01
Epoch=9, loss=7.264e-03,  energy_data=4.803e-01,  energy_ebm=4.746e-01
Epoch=10, loss=-8.663e-03,  energy_data=4.384e-01,  energy_ebm=4.484e-01
Epoch=11, loss=-1.969e-02,  energy_data=5.496e-01,  energy_ebm=5.711e-01
Epoch=12, loss=-1.115e-02,  energy_data=8.068e-01,  energy_ebm=8.215e-01
Epoch=13, loss=3.004e-03,  energy_data=7.120e-01,  energy_ebm=7.119e-01
Epoch=14, loss=-5.118e-03,  energy_data=5.436e-01,  energy_ebm=5.506e-01
Epoch=15, loss=-5.122e-03,  energy_data=5.050e-01,  energy_ebm=5.117e-01
Epoch=16, loss=-5.249e-03,  energy_data=5.073e-01,  energy_ebm=5.142e-01
Epoch=17, loss=-6.629e-03,  energy_data=5.304e-01,  energy_ebm=5.388e-01
Epoch=18, loss=-9.605e-03,  energy_data=5.082e-01,  energy_ebm=5.194e-01
Epoch=19, loss=-6.519e-03,  energy_data=5.020e-01,  energy_ebm=5.101e-01
Epoch=20, loss=-5.724e-03,  energy_data=5.016e-01,  energy_ebm=5.090e-01
Epoch=21, loss=-7.869e-03,  energy_data=4.872e-01,  energy_ebm=4.966e-01
Epoch=22, loss=-5.984e-03,  energy_data=4.832e-01,  energy_ebm=4.907e-01
Epoch=23, loss=-9.387e-04,  energy_data=4.802e-01,  energy_ebm=4.826e-01
Epoch=24, loss=-5.828e-03,  energy_data=4.673e-01,  energy_ebm=4.746e-01
Epoch=25, loss=-8.554e-03,  energy_data=4.521e-01,  energy_ebm=4.620e-01
Epoch=26, loss=-2.792e-03,  energy_data=4.791e-01,  energy_ebm=4.834e-01
Epoch=27, loss=-6.834e-03,  energy_data=5.013e-01,  energy_ebm=5.098e-01
Epoch=28, loss=-5.148e-03,  energy_data=4.825e-01,  energy_ebm=4.892e-01
Epoch=29, loss=-5.670e-03,  energy_data=4.792e-01,  energy_ebm=4.864e-01
Epoch=30, loss=-2.419e-03,  energy_data=5.008e-01,  energy_ebm=5.048e-01
Epoch=31, loss=-3.398e-03,  energy_data=5.068e-01,  energy_ebm=5.119e-01
Epoch=32, loss=-2.870e-03,  energy_data=5.179e-01,  energy_ebm=5.224e-01
Epoch=33, loss=-1.209e-03,  energy_data=5.147e-01,  energy_ebm=5.175e-01
Epoch=34, loss=-6.202e-03,  energy_data=5.147e-01,  energy_ebm=5.226e-01
Epoch=35, loss=-4.302e-03,  energy_data=5.168e-01,  energy_ebm=5.228e-01
Epoch=36, loss=-4.948e-03,  energy_data=5.106e-01,  energy_ebm=5.173e-01
Epoch=37, loss=2.248e-03,  energy_data=5.485e-01,  energy_ebm=5.481e-01
Epoch=38, loss=-3.502e-03,  energy_data=5.166e-01,  energy_ebm=5.218e-01
Epoch=39, loss=-5.794e-03,  energy_data=5.136e-01,  energy_ebm=5.210e-01
Epoch=40, loss=-4.886e-03,  energy_data=5.202e-01,  energy_ebm=5.269e-01
Epoch=41, loss=-3.446e-03,  energy_data=5.047e-01,  energy_ebm=5.098e-01
Epoch=42, loss=-2.818e-03,  energy_data=5.294e-01,  energy_ebm=5.340e-01
Epoch=43, loss=-6.126e-03,  energy_data=4.980e-01,  energy_ebm=5.057e-01
Epoch=44, loss=9.208e-05,  energy_data=5.133e-01,  energy_ebm=5.149e-01
Epoch=45, loss=-7.554e-03,  energy_data=4.935e-01,  energy_ebm=5.027e-01
Epoch=46, loss=-2.434e-03,  energy_data=5.081e-01,  energy_ebm=5.122e-01
Epoch=47, loss=-1.840e-03,  energy_data=5.186e-01,  energy_ebm=5.222e-01
Epoch=48, loss=-3.471e-03,  energy_data=4.643e-01,  energy_ebm=4.693e-01
Epoch=49, loss=-7.676e-04,  energy_data=4.751e-01,  energy_ebm=4.774e-01
Epoch=50, loss=-4.645e-03,  energy_data=4.895e-01,  energy_ebm=4.957e-01
Epoch=51, loss=-2.555e-03,  energy_data=4.683e-01,  energy_ebm=4.723e-01
Epoch=52, loss=-7.414e-04,  energy_data=4.718e-01,  energy_ebm=4.740e-01
