Epoch=1, loss=-4.464e-01,  energy_data=5.553e-01,  energy_ebm=1.002e+00
Epoch=2, loss=-7.750e-01,  energy_data=4.731e-01,  energy_ebm=1.249e+00
Epoch=3, loss=-1.094e+00,  energy_data=1.200e-01,  energy_ebm=1.215e+00
Epoch=4, loss=-9.994e-01,  energy_data=1.310e-01,  energy_ebm=1.131e+00
Epoch=5, loss=-8.615e-01,  energy_data=1.428e-01,  energy_ebm=1.005e+00
Epoch=6, loss=-7.746e-01,  energy_data=1.717e-01,  energy_ebm=9.466e-01
Epoch=7, loss=-8.841e-01,  energy_data=1.736e-01,  energy_ebm=1.058e+00
Epoch=8, loss=-8.794e-01,  energy_data=1.816e-01,  energy_ebm=1.061e+00
Epoch=9, loss=-8.243e-01,  energy_data=1.935e-01,  energy_ebm=1.018e+00
Epoch=10, loss=-9.480e-01,  energy_data=2.167e-01,  energy_ebm=1.165e+00
Epoch=11, loss=-1.213e+00,  energy_data=2.412e-01,  energy_ebm=1.455e+00
Epoch=12, loss=-1.792e+00,  energy_data=2.264e-01,  energy_ebm=2.019e+00
Epoch=13, loss=-2.579e+00,  energy_data=2.230e-01,  energy_ebm=2.803e+00
Epoch=14, loss=-3.346e+00,  energy_data=2.262e-01,  energy_ebm=3.573e+00
Epoch=15, loss=-4.814e+00,  energy_data=2.421e-01,  energy_ebm=5.058e+00
Epoch=16, loss=-6.986e+00,  energy_data=2.561e-01,  energy_ebm=7.244e+00
Epoch=17, loss=-9.689e+00,  energy_data=2.746e-01,  energy_ebm=9.966e+00
Epoch=18, loss=-1.766e+01,  energy_data=3.099e-01,  energy_ebm=1.798e+01
Epoch=19, loss=-4.147e+01,  energy_data=3.668e-01,  energy_ebm=4.185e+01
Epoch=20, loss=-9.535e+01,  energy_data=5.542e-01,  energy_ebm=9.592e+01
Epoch=21, loss=-1.163e+02,  energy_data=6.417e-01,  energy_ebm=1.169e+02
Epoch=22, loss=-1.224e+02,  energy_data=6.357e-01,  energy_ebm=1.231e+02
Epoch=23, loss=-1.265e+02,  energy_data=5.636e-01,  energy_ebm=1.271e+02
Epoch=24, loss=-1.301e+02,  energy_data=6.231e-01,  energy_ebm=1.308e+02
Epoch=25, loss=-1.328e+02,  energy_data=5.909e-01,  energy_ebm=1.335e+02
Epoch=26, loss=-1.355e+02,  energy_data=5.844e-01,  energy_ebm=1.361e+02
Epoch=27, loss=-1.384e+02,  energy_data=6.145e-01,  energy_ebm=1.391e+02
Epoch=28, loss=-1.404e+02,  energy_data=5.914e-01,  energy_ebm=1.410e+02
Epoch=29, loss=-1.428e+02,  energy_data=6.068e-01,  energy_ebm=1.435e+02
Epoch=30, loss=-1.434e+02,  energy_data=6.023e-01,  energy_ebm=1.441e+02
Epoch=31, loss=-1.451e+02,  energy_data=6.534e-01,  energy_ebm=1.458e+02
Epoch=32, loss=-1.457e+02,  energy_data=6.352e-01,  energy_ebm=1.463e+02
Epoch=33, loss=-1.484e+02,  energy_data=5.684e-01,  energy_ebm=1.490e+02
