Epoch=1, loss=-4.812e-02,  energy_data=7.061e-01,  energy_ebm=7.575e-01
Epoch=2, loss=-8.283e-03,  energy_data=6.065e-01,  energy_ebm=6.168e-01
Epoch=3, loss=-7.216e-03,  energy_data=6.944e-01,  energy_ebm=7.043e-01
Epoch=4, loss=-4.244e-03,  energy_data=6.548e-01,  energy_ebm=6.615e-01
Epoch=5, loss=-4.114e-03,  energy_data=5.791e-01,  energy_ebm=5.851e-01
Epoch=6, loss=-3.454e-03,  energy_data=5.699e-01,  energy_ebm=5.753e-01
Epoch=7, loss=-3.647e-03,  energy_data=5.631e-01,  energy_ebm=5.687e-01
Epoch=8, loss=-2.929e-03,  energy_data=5.528e-01,  energy_ebm=5.576e-01
Epoch=9, loss=-3.165e-03,  energy_data=5.513e-01,  energy_ebm=5.563e-01
Epoch=10, loss=-2.690e-03,  energy_data=5.611e-01,  energy_ebm=5.657e-01
Epoch=11, loss=-3.373e-03,  energy_data=5.638e-01,  energy_ebm=5.692e-01
Epoch=12, loss=-3.471e-03,  energy_data=5.691e-01,  energy_ebm=5.746e-01
Epoch=13, loss=-2.201e-03,  energy_data=5.856e-01,  energy_ebm=5.900e-01
Epoch=14, loss=-2.461e-03,  energy_data=5.957e-01,  energy_ebm=6.005e-01
Epoch=15, loss=-3.826e-03,  energy_data=5.428e-01,  energy_ebm=5.485e-01
Epoch=16, loss=-2.846e-03,  energy_data=5.541e-01,  energy_ebm=5.590e-01
Epoch=17, loss=-3.153e-03,  energy_data=5.810e-01,  energy_ebm=5.864e-01
Epoch=18, loss=-2.750e-03,  energy_data=6.084e-01,  energy_ebm=6.136e-01
Epoch=19, loss=-2.787e-03,  energy_data=5.889e-01,  energy_ebm=5.939e-01
Epoch=20, loss=-2.293e-03,  energy_data=5.777e-01,  energy_ebm=5.822e-01
Epoch=21, loss=-3.283e-03,  energy_data=5.897e-01,  energy_ebm=5.954e-01
Epoch=22, loss=-2.792e-03,  energy_data=6.089e-01,  energy_ebm=6.142e-01
Epoch=23, loss=-2.342e-03,  energy_data=5.795e-01,  energy_ebm=5.842e-01
Epoch=24, loss=-4.355e-03,  energy_data=6.095e-01,  energy_ebm=6.163e-01
Epoch=25, loss=-1.879e-03,  energy_data=6.122e-01,  energy_ebm=6.166e-01
Epoch=26, loss=-4.451e-03,  energy_data=6.619e-01,  energy_ebm=6.694e-01
Epoch=27, loss=-2.567e-03,  energy_data=5.931e-01,  energy_ebm=5.980e-01
Epoch=28, loss=-2.100e-03,  energy_data=6.058e-01,  energy_ebm=6.104e-01
Epoch=29, loss=-3.624e-03,  energy_data=6.189e-01,  energy_ebm=6.252e-01
Epoch=30, loss=-3.274e-03,  energy_data=6.242e-01,  energy_ebm=6.303e-01
Epoch=31, loss=-4.078e-03,  energy_data=6.444e-01,  energy_ebm=6.513e-01
Epoch=32, loss=-3.478e-03,  energy_data=6.368e-01,  energy_ebm=6.432e-01
Epoch=33, loss=-3.567e-03,  energy_data=6.735e-01,  energy_ebm=6.803e-01
Epoch=34, loss=-3.493e-03,  energy_data=6.606e-01,  energy_ebm=6.672e-01
Epoch=35, loss=-4.663e-03,  energy_data=6.528e-01,  energy_ebm=6.604e-01
Epoch=36, loss=-2.694e-03,  energy_data=6.587e-01,  energy_ebm=6.645e-01
