Epoch=1, loss=-6.627e+10,  energy_data=2.925e+05,  energy_ebm=6.686e+10
Epoch=2, loss=-2.060e+16,  energy_data=2.600e+08,  energy_ebm=2.077e+16
Epoch=3, loss=-4.506e+18,  energy_data=6.704e+09,  energy_ebm=4.572e+18
Epoch=4, loss=-1.340e+20,  energy_data=4.315e+10,  energy_ebm=1.362e+20
Epoch=5, loss=-1.652e+21,  energy_data=1.639e+11,  energy_ebm=1.682e+21
Epoch=6, loss=-9.857e+21,  energy_data=4.183e+11,  energy_ebm=1.004e+22
Epoch=7, loss=-3.318e+22,  energy_data=9.221e+11,  energy_ebm=3.406e+22
Epoch=8, loss=-8.239e+22,  energy_data=1.477e+12,  energy_ebm=8.461e+22
Epoch=9, loss=-1.681e+23,  energy_data=2.046e+12,  energy_ebm=1.724e+23
Epoch=10, loss=-2.937e+23,  energy_data=2.564e+12,  energy_ebm=3.003e+23
Epoch=11, loss=-4.433e+23,  energy_data=2.889e+12,  energy_ebm=4.517e+23
Epoch=12, loss=-5.950e+23,  energy_data=2.797e+12,  energy_ebm=6.029e+23
Epoch=13, loss=-7.211e+23,  energy_data=2.360e+12,  energy_ebm=7.268e+23
Epoch=14, loss=-8.479e+23,  energy_data=1.903e+12,  energy_ebm=8.516e+23
Epoch=15, loss=-9.461e+23,  energy_data=1.480e+12,  energy_ebm=9.484e+23
Epoch=16, loss=-1.017e+24,  energy_data=1.126e+12,  energy_ebm=1.018e+24
Epoch=17, loss=-1.077e+24,  energy_data=8.765e+11,  energy_ebm=1.077e+24
Epoch=18, loss=-1.140e+24,  energy_data=6.051e+11,  energy_ebm=1.141e+24
Epoch=19, loss=-1.213e+24,  energy_data=4.360e+11,  energy_ebm=1.213e+24
Epoch=20, loss=-1.296e+24,  energy_data=3.465e+11,  energy_ebm=1.296e+24
Epoch=21, loss=-1.396e+24,  energy_data=2.930e+11,  energy_ebm=1.396e+24
Epoch=22, loss=-1.522e+24,  energy_data=2.754e+11,  energy_ebm=1.522e+24
