Epoch=1, loss=-2.740e-01,  energy_data=-4.072e+00,  energy_ebm=-3.758e+00
Epoch=2, loss=-2.596e-02,  energy_data=-4.581e-02,  energy_ebm=-1.915e-02
Epoch=3, loss=-6.165e-03,  energy_data=-1.073e-01,  energy_ebm=-1.005e-01
Epoch=4, loss=-3.805e-04,  energy_data=-1.876e-01,  energy_ebm=-1.862e-01
Epoch=5, loss=-6.697e-04,  energy_data=-1.454e-01,  energy_ebm=-1.441e-01
Epoch=6, loss=3.671e-03,  energy_data=-2.131e-01,  energy_ebm=-2.160e-01
Epoch=7, loss=-5.377e-04,  energy_data=-2.162e-01,  energy_ebm=-2.149e-01
Epoch=8, loss=-4.853e-04,  energy_data=-2.306e-01,  energy_ebm=-2.295e-01
Epoch=9, loss=1.561e-03,  energy_data=-2.283e-01,  energy_ebm=-2.290e-01
Epoch=10, loss=-1.387e-04,  energy_data=-2.867e-01,  energy_ebm=-2.854e-01
Epoch=11, loss=-1.833e-03,  energy_data=-2.328e-01,  energy_ebm=-2.303e-01
Epoch=12, loss=-1.623e-03,  energy_data=-2.324e-01,  energy_ebm=-2.302e-01
Epoch=13, loss=2.648e-04,  energy_data=-2.126e-01,  energy_ebm=-2.124e-01
Epoch=14, loss=1.909e-05,  energy_data=-1.791e-01,  energy_ebm=-1.786e-01
Epoch=15, loss=-2.152e-03,  energy_data=-2.664e-01,  energy_ebm=-2.636e-01
Epoch=16, loss=4.876e-05,  energy_data=-2.660e-01,  energy_ebm=-2.654e-01
Epoch=17, loss=-1.640e-03,  energy_data=-2.413e-01,  energy_ebm=-2.391e-01
Epoch=18, loss=-2.410e-03,  energy_data=-1.906e-01,  energy_ebm=-1.877e-01
Epoch=19, loss=-9.640e-04,  energy_data=-2.198e-01,  energy_ebm=-2.183e-01
Epoch=20, loss=-2.575e-03,  energy_data=-2.218e-01,  energy_ebm=-2.187e-01
Epoch=21, loss=-1.189e-03,  energy_data=-1.714e-01,  energy_ebm=-1.697e-01
Epoch=22, loss=-2.350e-03,  energy_data=-1.992e-01,  energy_ebm=-1.964e-01
Epoch=23, loss=1.071e-03,  energy_data=-1.959e-01,  energy_ebm=-1.965e-01
Epoch=24, loss=-3.757e-03,  energy_data=-2.332e-01,  energy_ebm=-2.290e-01
Epoch=25, loss=-4.972e-03,  energy_data=-1.837e-01,  energy_ebm=-1.782e-01
Epoch=26, loss=1.196e-04,  energy_data=-1.625e-01,  energy_ebm=-1.620e-01
Epoch=27, loss=-4.717e-03,  energy_data=-1.757e-01,  energy_ebm=-1.704e-01
Epoch=28, loss=-1.648e-03,  energy_data=-2.088e-01,  energy_ebm=-2.066e-01
Epoch=29, loss=-2.383e-03,  energy_data=-1.398e-01,  energy_ebm=-1.370e-01
Epoch=30, loss=-3.985e-03,  energy_data=-1.502e-01,  energy_ebm=-1.457e-01
Epoch=31, loss=-2.209e-03,  energy_data=-1.735e-01,  energy_ebm=-1.708e-01
Epoch=32, loss=-2.638e-03,  energy_data=-1.532e-01,  energy_ebm=-1.500e-01
Epoch=33, loss=-1.103e-03,  energy_data=-1.962e-01,  energy_ebm=-1.945e-01
Epoch=34, loss=-1.386e-03,  energy_data=-1.549e-01,  energy_ebm=-1.530e-01
Epoch=35, loss=-2.642e-03,  energy_data=-1.607e-01,  energy_ebm=-1.575e-01
Epoch=36, loss=-5.199e-04,  energy_data=-1.680e-01,  energy_ebm=-1.670e-01
Epoch=37, loss=-6.592e-03,  energy_data=-1.414e-01,  energy_ebm=-1.342e-01
Epoch=38, loss=-1.350e+08,  energy_data=1.358e+02,  energy_ebm=1.350e+08
Epoch=39, loss=-4.846e+16,  energy_data=2.400e+07,  energy_ebm=4.848e+16
Epoch=40, loss=-2.187e+19,  energy_data=1.987e+09,  energy_ebm=2.189e+19
Epoch=41, loss=-8.288e+20,  energy_data=1.976e+10,  energy_ebm=8.298e+20
Epoch=42, loss=-8.750e+21,  energy_data=8.167e+10,  energy_ebm=8.763e+21
Epoch=43, loss=-3.499e+22,  energy_data=1.212e+11,  energy_ebm=3.502e+22
Epoch=44, loss=-8.151e+22,  energy_data=1.149e+11,  energy_ebm=8.156e+22
Epoch=45, loss=-1.660e+23,  energy_data=1.205e+11,  energy_ebm=1.661e+23
Epoch=46, loss=-3.067e+23,  energy_data=9.300e+10,  energy_ebm=3.068e+23
Epoch=47, loss=-4.455e+23,  energy_data=2.373e+10,  energy_ebm=4.456e+23
Epoch=48, loss=-5.548e+23,  energy_data=-3.254e+10,  energy_ebm=5.549e+23
Epoch=49, loss=-6.484e+23,  energy_data=-5.823e+10,  energy_ebm=6.485e+23
Epoch=50, loss=-7.343e+23,  energy_data=-7.070e+10,  energy_ebm=7.343e+23
Epoch=51, loss=-8.197e+23,  energy_data=-7.806e+10,  energy_ebm=8.197e+23
Epoch=52, loss=-9.088e+23,  energy_data=-7.757e+10,  energy_ebm=9.088e+23
