Epoch=1, ess=1.739e+00,  loss_theta=-3.385e+11,  loss_phi=5.431e+02,  energy_data=-3.914e+11,  energy_ebm=-5.296e+10
Epoch=2, ess=1.000e+00,  loss_theta=-4.426e+15,  loss_phi=5.423e+02,  energy_data=-5.110e+15,  energy_ebm=-6.840e+14
Epoch=3, ess=1.000e+00,  loss_theta=-6.578e+17,  loss_phi=5.407e+02,  energy_data=-7.676e+17,  energy_ebm=-1.098e+17
Epoch=4, ess=1.000e+00,  loss_theta=-1.751e+19,  loss_phi=5.389e+02,  energy_data=-2.057e+19,  energy_ebm=-3.059e+18
Epoch=5, ess=1.000e+00,  loss_theta=-1.898e+20,  loss_phi=5.364e+02,  energy_data=-2.242e+20,  energy_ebm=-3.449e+19
Epoch=6, ess=1.000e+00,  loss_theta=-1.193e+21,  loss_phi=5.331e+02,  energy_data=-1.419e+21,  energy_ebm=-2.260e+20
Epoch=7, ess=1.000e+00,  loss_theta=-4.650e+21,  loss_phi=5.302e+02,  energy_data=-5.557e+21,  energy_ebm=-9.065e+20
Epoch=8, ess=1.000e+00,  loss_theta=-1.380e+22,  loss_phi=5.270e+02,  energy_data=-1.655e+22,  energy_ebm=-2.745e+21
Epoch=9, ess=1.000e+00,  loss_theta=-2.992e+22,  loss_phi=5.209e+02,  energy_data=-3.608e+22,  energy_ebm=-6.159e+21
Epoch=10, ess=1.000e+00,  loss_theta=-5.347e+22,  loss_phi=5.062e+02,  energy_data=-6.525e+22,  energy_ebm=-1.177e+22
Epoch=11, ess=1.000e+00,  loss_theta=-8.689e+22,  loss_phi=4.820e+02,  energy_data=-1.067e+23,  energy_ebm=-1.986e+22
Epoch=12, ess=1.000e+00,  loss_theta=-1.266e+23,  loss_phi=4.299e+02,  energy_data=-1.599e+23,  energy_ebm=-3.325e+22
Epoch=13, ess=1.000e+00,  loss_theta=-1.660e+23,  loss_phi=3.535e+02,  energy_data=-2.165e+23,  energy_ebm=-5.042e+22
Epoch=14, ess=1.000e+00,  loss_theta=-2.064e+23,  loss_phi=2.796e+02,  energy_data=-2.777e+23,  energy_ebm=-7.136e+22
Epoch=15, ess=1.000e+00,  loss_theta=-2.483e+23,  loss_phi=2.177e+02,  energy_data=-3.453e+23,  energy_ebm=-9.706e+22
Epoch=16, ess=1.000e+00,  loss_theta=-2.910e+23,  loss_phi=1.724e+02,  energy_data=-4.220e+23,  energy_ebm=-1.310e+23
Epoch=17, ess=1.000e+00,  loss_theta=-3.288e+23,  loss_phi=1.331e+02,  energy_data=-4.947e+23,  energy_ebm=-1.659e+23
Epoch=18, ess=1.000e+00,  loss_theta=-3.711e+23,  loss_phi=1.067e+02,  energy_data=-5.688e+23,  energy_ebm=-1.977e+23
Epoch=19, ess=1.000e+00,  loss_theta=-4.144e+23,  loss_phi=8.619e+01,  energy_data=-6.475e+23,  energy_ebm=-2.331e+23
Epoch=20, ess=1.000e+00,  loss_theta=-4.576e+23,  loss_phi=7.209e+01,  energy_data=-7.274e+23,  energy_ebm=-2.698e+23
Epoch=21, ess=1.000e+00,  loss_theta=-4.913e+23,  loss_phi=5.977e+01,  energy_data=-7.858e+23,  energy_ebm=-2.944e+23
Epoch=22, ess=1.000e+00,  loss_theta=-5.060e+23,  loss_phi=4.997e+01,  energy_data=-8.186e+23,  energy_ebm=-3.126e+23
Epoch=23, ess=1.000e+00,  loss_theta=-5.300e+23,  loss_phi=4.770e+01,  energy_data=-8.634e+23,  energy_ebm=-3.334e+23
Epoch=24, ess=1.000e+00,  loss_theta=-5.556e+23,  loss_phi=4.400e+01,  energy_data=-9.059e+23,  energy_ebm=-3.503e+23
Epoch=25, ess=1.000e+00,  loss_theta=-5.819e+23,  loss_phi=3.762e+01,  energy_data=-9.524e+23,  energy_ebm=-3.705e+23
Epoch=26, ess=1.000e+00,  loss_theta=-6.087e+23,  loss_phi=3.278e+01,  energy_data=-9.979e+23,  energy_ebm=-3.892e+23
