Epoch=1, loss=3.58864e-01,  energy_data=2.49322e-01,  energy_ebm=-1.09542e-01
Epoch=2, loss=2.26631e-01,  energy_data=2.58265e-01,  energy_ebm=3.16342e-02
Epoch=3, loss=2.07450e-01,  energy_data=2.31401e-01,  energy_ebm=2.39502e-02
Epoch=4, loss=2.15141e-01,  energy_data=2.20719e-01,  energy_ebm=5.57812e-03
Epoch=5, loss=1.72890e-01,  energy_data=2.41040e-01,  energy_ebm=6.81497e-02
Epoch=6, loss=1.37213e-01,  energy_data=2.27436e-01,  energy_ebm=9.02229e-02
Epoch=7, loss=1.27446e-01,  energy_data=1.71347e-01,  energy_ebm=4.39006e-02
Epoch=8, loss=9.87340e-02,  energy_data=1.25605e-01,  energy_ebm=2.68706e-02
Epoch=9, loss=4.38707e-02,  energy_data=8.32131e-02,  energy_ebm=3.93424e-02
Epoch=10, loss=4.96747e-02,  energy_data=6.90102e-02,  energy_ebm=1.93355e-02
Epoch=11, loss=4.92704e-02,  energy_data=1.23742e-01,  energy_ebm=7.44713e-02
Epoch=12, loss=3.31563e-02,  energy_data=8.29208e-02,  energy_ebm=4.97645e-02
Epoch=13, loss=2.99522e-02,  energy_data=1.02145e-01,  energy_ebm=7.21924e-02
Epoch=14, loss=2.10920e-02,  energy_data=6.92962e-02,  energy_ebm=4.82041e-02
Epoch=15, loss=1.71283e-02,  energy_data=7.48251e-02,  energy_ebm=5.76969e-02
Epoch=16, loss=1.51138e-02,  energy_data=9.40320e-02,  energy_ebm=7.89182e-02
Epoch=17, loss=7.10801e-03,  energy_data=7.58492e-02,  energy_ebm=6.87412e-02
Epoch=18, loss=5.66943e-03,  energy_data=6.89230e-02,  energy_ebm=6.32535e-02
Epoch=19, loss=7.37609e-03,  energy_data=7.54857e-02,  energy_ebm=6.81096e-02
Epoch=20, loss=4.61400e-03,  energy_data=7.09677e-02,  energy_ebm=6.63537e-02
Epoch=21, loss=4.62635e-03,  energy_data=7.41454e-02,  energy_ebm=6.95191e-02
Epoch=22, loss=3.45749e-03,  energy_data=7.24985e-02,  energy_ebm=6.90410e-02
Epoch=23, loss=2.58067e-03,  energy_data=7.34162e-02,  energy_ebm=7.08355e-02
Epoch=24, loss=3.69397e-03,  energy_data=7.04479e-02,  energy_ebm=6.67540e-02
Epoch=25, loss=3.39609e-03,  energy_data=6.79822e-02,  energy_ebm=6.45861e-02
Epoch=26, loss=2.91196e-03,  energy_data=6.93869e-02,  energy_ebm=6.64749e-02
Epoch=27, loss=2.44279e-03,  energy_data=7.11121e-02,  energy_ebm=6.86693e-02
Epoch=28, loss=2.77635e-03,  energy_data=6.46745e-02,  energy_ebm=6.18982e-02
Epoch=29, loss=3.27441e-03,  energy_data=6.70501e-02,  energy_ebm=6.37757e-02
Epoch=30, loss=2.95868e-03,  energy_data=6.52859e-02,  energy_ebm=6.23272e-02
Epoch=31, loss=1.95842e-03,  energy_data=6.90802e-02,  energy_ebm=6.71218e-02
Epoch=32, loss=2.10405e-03,  energy_data=6.62087e-02,  energy_ebm=6.41047e-02
Epoch=33, loss=2.45378e-03,  energy_data=6.50448e-02,  energy_ebm=6.25911e-02
Epoch=34, loss=2.04374e-03,  energy_data=6.57581e-02,  energy_ebm=6.37143e-02
