Epoch=1, loss=-4.64431e-01
Epoch=2, loss=-1.30091e-02
Epoch=3, loss=5.87926e-03
Epoch=4, loss=3.23383e-03
Epoch=5, loss=-1.21099e-03
Epoch=6, loss=2.30130e-03
Epoch=7, loss=-3.24266e-04
Epoch=8, loss=-3.21887e-03
Epoch=9, loss=-5.79537e-04
Epoch=10, loss=9.07989e-04
Epoch=11, loss=3.83305e-04
Epoch=12, loss=2.16287e-03
Epoch=13, loss=-2.31626e-04
Epoch=14, loss=1.34155e-03
Epoch=15, loss=1.95419e-03
Epoch=16, loss=2.95945e-04
Epoch=17, loss=1.56844e-03
Epoch=18, loss=5.60824e-04
Epoch=19, loss=6.21762e-04
Epoch=20, loss=-1.29970e-03
Epoch=21, loss=1.17389e-03
Epoch=22, loss=-1.79701e-04
Epoch=23, loss=6.81515e-04
Epoch=24, loss=1.01509e-04
Epoch=25, loss=1.59586e-03
Epoch=26, loss=1.34648e-03
Epoch=27, loss=4.87892e-04
Epoch=28, loss=7.09932e-04
Epoch=29, loss=2.16408e-03
Epoch=30, loss=-1.61042e-04
Epoch=31, loss=1.59779e-03
Epoch=32, loss=1.61477e-03
Epoch=33, loss=2.26035e-04
Epoch=34, loss=-4.12001e-04
Epoch=35, loss=4.68225e-04
Epoch=36, loss=1.79644e-03
Epoch=37, loss=5.18567e-05
Epoch=38, loss=1.23229e-03
Epoch=39, loss=1.11964e-03
Epoch=40, loss=-3.32852e-04
Epoch=41, loss=3.75432e-04
Epoch=42, loss=2.12251e-03
Epoch=43, loss=-1.29900e-03
Epoch=44, loss=2.07282e-03
Epoch=45, loss=1.44691e-04
Epoch=46, loss=-8.78494e-04
Epoch=47, loss=-1.07146e-03
Epoch=48, loss=1.51076e-03
Epoch=49, loss=-3.68266e-06
Epoch=50, loss=4.03456e-04
Epoch=51, loss=-7.59674e-04
